device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,lambda_frac,capacity_ips,capacity_selection,capacity_power_status,capacity_delta_w,target_rps,achieved_rps_median,achieved_target_ratio,n_runs,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,flag_slo_median_violation,flag_slo_any_run_violation,flag_low_delta_median,flag_nonpositive_delta_run,flag_nonpositive_energy_run,n_runs_p95_gt_lmax,n_runs_delta_le_zero,n_runs_delta_lt_low,n_runs_energy_le_zero,source_capacity_json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,0.25,5.4,confirmed,ok,5.52,1.35,1.31,0.97037,10,40.095,51.6,98.525,100.105,1.615,1.247495,0.852113,1.8,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,0.5,5.4,confirmed,ok,5.52,2.7,2.83,1.048148,10,56.295,63.03,98.6,101.225,2.625,0.948377,0.50431,1.158416,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,0.75,5.4,confirmed,ok,5.52,4.05,4.21,1.039506,10,60.58,67.44,98.3,101.845,3.645,0.869798,0.59322,1.03012,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,1.0,5.4,confirmed,ok,5.52,5.4,5.35,0.990741,10,64.795,69.45,98.375,102.955,4.89,0.862821,0.696154,0.991919,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,0.25,42.2,confirmed,ok,29.23,10.55,10.56,1.000948,10,40.815,41.94,99.15,105.035,5.84,0.562616,0.457457,5.21337,0,0,0,0,0,0,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,0.5,42.2,confirmed,ok,29.23,21.1,20.975,0.994076,10,47.23,52.33,98.4,111.965,13.44,0.637916,0.606488,0.676937,0,0,0,0,0,0,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,0.75,42.2,confirmed,ok,29.23,31.65,31.66,1.000316,10,61.06,70.75,99.05,120.37,21.195,0.671662,0.648249,0.709707,0,0,0,0,0,0,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,1.0,42.2,confirmed,ok,29.23,42.2,42.22,1.000474,10,91.995,119.12,99.65,129.775,30.325,0.704489,0.685491,0.729316,0,1,0,0,0,2,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,0.25,59.1,confirmed,ok,39.88,14.78,14.605,0.98816,10,38.495,41.31,98.925,106.935,8.04,0.545516,0.48968,3.706186,0,0,0,0,0,0,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,0.5,59.1,confirmed,ok,39.88,29.55,29.335,0.992724,10,42.985,47.14,98.8,116.365,17.495,0.595001,0.572449,0.629937,0,0,0,0,0,0,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,0.75,59.1,confirmed,ok,39.88,44.33,44.7,1.008346,10,54.665,60.77,99.0,127.775,28.765,0.641313,0.621518,0.671302,0,0,0,0,0,0,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,1.0,59.1,confirmed,ok,39.88,59.1,59.485,1.006514,10,101.095,111.85,99.775,138.93,38.985,0.652729,0.640178,0.671365,1,1,0,0,0,5,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,0.25,75.9,confirmed,ok,47.46,18.98,18.63,0.98156,10,39.425,40.9,99.15,108.76,9.66,0.514971,0.4464,2.941649,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,0.5,75.9,confirmed,ok,47.46,37.95,37.565,0.989855,10,41.21,42.23,99.4,120.19,20.815,0.555786,0.525333,0.579059,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,0.75,75.9,confirmed,ok,47.46,56.93,56.505,0.992535,10,46.64,48.79,99.65,132.155,32.265,0.579155,0.5569,0.58875,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,1.0,75.9,confirmed,ok,47.46,75.9,76.115,1.002833,10,81.64,95.9,100.6,145.495,44.91,0.586151,0.571051,0.606981,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,0.25,88.2,confirmed,ok,52.87,22.05,21.815,0.989342,10,38.675,40.65,99.775,110.95,11.015,0.50104,0.463931,0.552313,0,0,0,0,0,0,0,0,0,20260514T094010+0900_638_gpu-server_effb4_dvfs4_cuda_v2.json
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,0.5,88.2,confirmed,ok,52.87,44.1,43.88,0.995011,10,40.655,42.13,99.6,124.005,24.375,0.552206,0.524759,1.544047,0,0,0,0,0,0,0,0,0,20260514T094010+0900_638_gpu-server_effb4_dvfs4_cuda_v2.json
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,0.75,88.2,confirmed,ok,52.87,66.15,66.035,0.998262,10,48.2,50.52,100.35,138.21,37.725,0.574587,0.552802,0.593885,0,0,0,0,0,0,0,0,0,20260514T094010+0900_638_gpu-server_effb4_dvfs4_cuda_v2.json
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,1.0,88.2,confirmed,ok,52.87,88.2,88.66,1.005215,10,90.15,112.17,100.95,153.825,52.78,0.593592,0.583053,0.605701,0,1,0,0,0,4,0,0,0,20260514T094010+0900_638_gpu-server_effb4_dvfs4_cuda_v2.json
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,0.25,112.5,confirmed,ok,63.21,28.12,27.985,0.995199,10,37.91,39.76,100.975,114.62,13.685,0.48698,0.43099,0.507277,0,0,0,0,0,0,0,0,0,20260514T095159+0900_494_gpu-server_effb4_dvfs5_cuda_v2.json
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,0.5,112.5,confirmed,ok,63.21,56.25,56.2,0.999111,10,39.23,39.63,100.85,130.675,29.49,0.525262,0.50233,0.535781,0,0,0,0,0,0,0,0,0,20260514T095159+0900_494_gpu-server_effb4_dvfs5_cuda_v2.json
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,0.75,112.5,confirmed,ok,63.21,84.38,83.87,0.993956,10,44.9,48.78,102.225,148.305,45.88,0.54682,0.533484,0.562789,0,0,0,0,0,0,0,0,0,20260514T095159+0900_494_gpu-server_effb4_dvfs5_cuda_v2.json
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,1.0,112.5,confirmed,ok,63.21,112.5,112.29,0.998133,10,105.9,144.78,102.775,166.195,63.19,0.563616,0.558896,0.573796,1,1,0,0,0,6,0,0,0,20260514T095159+0900_494_gpu-server_effb4_dvfs5_cuda_v2.json
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,server,0.25,117.6,confirmed_after_backoff,ok,71.74,29.4,29.62,1.007483,10,38.89,40.17,102.925,118.59,15.755,0.528785,0.512237,0.549451,0,0,0,0,0,0,0,0,0,20260514T100531+0900_157_gpu-server_effb4_dvfs6_cuda_v2.json
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,server,0.5,117.6,confirmed_after_backoff,ok,71.74,58.8,59.14,1.005782,10,38.29,39.25,104.5,137.355,32.72,0.55394,0.531709,0.562627,0,0,0,0,0,0,0,0,0,20260514T100531+0900_157_gpu-server_effb4_dvfs6_cuda_v2.json
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,server,0.75,117.6,confirmed_after_backoff,ok,71.74,88.2,87.79,0.995351,10,41.08,43.39,104.5,155.945,51.33,0.587196,0.574537,0.592789,0,0,0,0,0,0,0,0,0,20260514T100531+0900_157_gpu-server_effb4_dvfs6_cuda_v2.json
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,server,1.0,117.6,confirmed_after_backoff,ok,71.74,117.6,118.225,1.005315,10,68.66,79.96,105.45,176.03,70.645,0.600375,0.583299,0.608929,0,0,0,0,0,0,0,0,0,20260514T100531+0900_157_gpu-server_effb4_dvfs6_cuda_v2.json
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,0.25,129.4,confirmed,ok,97.38,32.35,32.22,0.995981,10,39.4,40.83,107.6,126.455,18.675,0.582635,0.550824,0.613263,0,0,0,0,0,0,0,0,0,20260514T102053+0900_176_gpu-server_effb4_dvfs7_cuda_v2.json
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,0.5,129.4,confirmed,ok,97.38,64.7,64.265,0.993277,10,38.345,39.89,108.375,148.23,39.995,0.623943,0.615121,0.635971,0,0,0,0,0,0,0,0,0,20260514T102053+0900_176_gpu-server_effb4_dvfs7_cuda_v2.json
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,0.75,129.4,confirmed,ok,97.38,97.05,96.05,0.989696,10,41.375,45.7,108.925,172.43,63.975,0.665106,0.647747,1.165825,0,0,0,0,0,0,0,0,0,20260514T102053+0900_176_gpu-server_effb4_dvfs7_cuda_v2.json
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,1.0,129.4,confirmed,ok,97.38,129.4,129.775,1.002898,10,69.855,81.25,111.4,200.68,89.905,0.691323,0.686009,0.700192,0,0,0,0,0,0,0,0,0,20260514T102053+0900_176_gpu-server_effb4_dvfs7_cuda_v2.json
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,0.25,129.4,confirmed,ok,131.29,32.35,32.365,1.000464,10,39.03,40.25,113.8,136.185,22.465,0.68546,0.61675,0.726493,0,0,0,0,0,0,0,0,0,20260514T103248+0900_338_gpu-server_effb4_dvfs8_cuda_v2.json
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,0.5,129.4,confirmed,ok,131.29,64.7,64.885,1.002859,10,38.135,38.87,115.4,164.565,48.775,0.753322,0.728935,0.791093,0,0,0,0,0,0,0,0,0,20260514T103248+0900_338_gpu-server_effb4_dvfs8_cuda_v2.json
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,0.75,129.4,confirmed,ok,131.29,97.05,96.335,0.992633,10,38.99,41.08,118.7,196.785,79.355,0.8182,0.804798,1.384087,0,0,0,0,0,0,0,0,0,20260514T103248+0900_338_gpu-server_effb4_dvfs8_cuda_v2.json
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,1.0,129.4,confirmed,ok,131.29,129.4,129.025,0.997102,10,50.99,58.25,123.5,240.98,117.685,0.907601,0.862553,0.924923,0,0,0,0,0,0,0,0,0,20260514T103248+0900_338_gpu-server_effb4_dvfs8_cuda_v2.json
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,0.25,133.6,confirmed_after_backoff,ok,150.02,33.4,33.65,1.007485,10,39.0,40.7,120.55,147.71,27.46,0.813136,0.786294,0.861369,0,0,0,0,0,0,0,0,0,20260514T104439+0900_521_gpu-server_effb4_dvfs9_cuda_v2.json
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,0.5,133.6,confirmed_after_backoff,ok,150.02,66.8,66.46,0.99491,10,38.05,40.16,124.125,186.015,60.68,0.914824,0.876761,0.952173,0,0,0,0,0,0,0,0,0,20260514T104439+0900_521_gpu-server_effb4_dvfs9_cuda_v2.json
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,0.75,133.6,confirmed_after_backoff,ok,150.02,100.2,100.5,1.002994,10,39.38,41.95,129.55,239.17,108.605,1.08696,1.05001,1.105337,0,0,0,0,0,0,0,0,0,20260514T104439+0900_521_gpu-server_effb4_dvfs9_cuda_v2.json
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,1.0,133.6,confirmed_after_backoff,ok,150.02,133.6,132.7,0.993263,10,65.185,91.67,127.675,274.97,147.53,1.106067,1.096351,1.12464,0,0,0,0,0,0,0,0,0,20260514T104439+0900_521_gpu-server_effb4_dvfs9_cuda_v2.json
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,0.25,118.1,confirmed,ok,143.93,29.52,29.305,0.992717,10,38.58,39.92,135.775,168.045,32.275,1.080951,1.02983,1.16825,0,0,0,0,0,0,0,0,0,20260514T110015+0900_003_gpu-server_effb4_dvfs10_cuda_v2.json
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,0.5,118.1,confirmed,ok,143.93,59.05,58.55,0.991533,10,37.955,39.01,143.525,226.87,83.945,1.424845,1.308064,1.512852,0,0,0,0,0,0,0,0,0,20260514T110015+0900_003_gpu-server_effb4_dvfs10_cuda_v2.json
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,0.75,118.1,confirmed,ok,143.93,88.57,88.25,0.996387,10,42.24,45.8,139.6,268.94,129.5,1.466951,1.396879,1.501979,0,0,0,0,0,0,0,0,0,20260514T110015+0900_003_gpu-server_effb4_dvfs10_cuda_v2.json
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,1.0,118.1,confirmed,ok,143.93,118.1,118.475,1.003175,10,141.655,213.53,139.325,283.655,143.87,1.218061,1.198153,1.23765,1,1,0,0,0,9,0,0,0,20260514T110015+0900_003_gpu-server_effb4_dvfs10_cuda_v2.json
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,0.25,118.1,confirmed,ok,137.61,29.52,29.52,1.0,10,38.88,39.92,140.75,175.65,34.91,1.194377,1.122167,1.248867,0,0,0,0,0,0,0,0,0,20260514T111225+0900_310_gpu-server_effb4_dvfs11_cuda_v2.json
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,0.5,118.1,confirmed,ok,137.61,59.05,58.535,0.991279,10,37.84,39.33,145.4,227.15,81.275,1.389397,1.315261,1.452422,0,0,0,0,0,0,0,0,0,20260514T111225+0900_310_gpu-server_effb4_dvfs11_cuda_v2.json
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,0.75,118.1,confirmed,ok,137.61,88.57,88.635,1.000734,10,40.025,42.2,142.1,267.27,125.23,1.399935,1.291872,1.455129,0,0,0,0,0,0,0,0,0,20260514T111225+0900_310_gpu-server_effb4_dvfs11_cuda_v2.json
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,1.0,118.1,confirmed,ok,137.61,118.1,118.06,0.999661,10,97.815,120.53,141.55,282.125,140.685,1.183837,1.170972,1.210408,0,1,0,0,0,4,0,0,0,20260514T111225+0900_310_gpu-server_effb4_dvfs11_cuda_v2.json
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,0.25,230.6,confirmed,ok,27.6,57.65,57.585,0.998873,10,19.57,19.95,98.0,101.11,3.3,0.056349,0.032707,0.072569,0,0,0,0,0,0,0,0,0,20260508T075525+0900_374_gpu-server_mob050_dvfs0_cuda_v2.json
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,0.5,230.6,confirmed,ok,27.6,115.3,114.685,0.994666,10,19.965,20.65,99.0,107.065,7.895,0.06911,0.063687,0.081595,0,0,0,0,0,0,0,0,0,20260508T075525+0900_374_gpu-server_mob050_dvfs0_cuda_v2.json
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,0.75,230.6,confirmed,ok,27.6,172.95,172.425,0.996964,10,23.55,24.39,99.425,115.235,15.645,0.090337,0.08656,0.100928,0,0,0,0,0,0,0,0,0,20260508T075525+0900_374_gpu-server_mob050_dvfs0_cuda_v2.json
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,1.0,230.6,confirmed,ok,27.6,230.6,231.52,1.00399,10,62.33,82.11,99.0,122.335,23.215,0.10106,0.094701,0.10468,0,0,0,0,0,0,0,0,0,20260508T075525+0900_374_gpu-server_mob050_dvfs0_cuda_v2.json
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,0.25,427.5,confirmed,ok,30.33,106.88,107.4,1.004865,10,20.57,21.16,98.3,103.875,5.705,0.053098,0.046248,0.061304,0,0,0,0,0,0,0,0,0,20260508T080855+0900_067_gpu-server_mob050_dvfs1_cuda_v2.json
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,0.5,427.5,confirmed,ok,30.33,213.75,214.23,1.002246,10,20.545,21.51,98.8,112.345,13.555,0.062641,0.060109,0.067653,0,0,0,0,0,0,0,0,0,20260508T080855+0900_067_gpu-server_mob050_dvfs1_cuda_v2.json
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,0.75,427.5,confirmed,ok,30.33,320.62,320.305,0.999018,10,20.0,20.83,99.125,121.09,21.91,0.068326,0.067094,0.071188,0,0,0,0,0,0,0,0,0,20260508T080855+0900_067_gpu-server_mob050_dvfs1_cuda_v2.json
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,1.0,427.5,confirmed,ok,30.33,427.5,427.07,0.998994,10,52.335,98.57,99.0,128.665,29.895,0.069864,0.067744,0.072052,0,0,0,0,0,0,0,0,0,20260508T080855+0900_067_gpu-server_mob050_dvfs1_cuda_v2.json
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,0.25,491.6,confirmed_after_backoff,ok,30.66,122.9,122.61,0.99764,10,19.91,20.77,99.575,105.15,5.515,0.044952,0.039091,0.432121,0,0,0,0,0,0,0,0,0,20260508T082232+0900_968_gpu-server_mob050_dvfs2_cuda_v2.json
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,0.5,491.6,confirmed_after_backoff,ok,30.66,245.8,244.845,0.996115,10,21.155,21.6,99.4,113.06,13.805,0.056309,0.050061,0.060387,0,0,0,0,0,0,0,0,0,20260508T082232+0900_968_gpu-server_mob050_dvfs2_cuda_v2.json
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,0.75,491.6,confirmed_after_backoff,ok,30.66,368.7,369.225,1.001424,10,19.835,21.54,99.05,121.67,22.61,0.061553,0.058555,0.063124,0,0,0,0,0,0,0,0,0,20260508T082232+0900_968_gpu-server_mob050_dvfs2_cuda_v2.json
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,1.0,491.6,confirmed_after_backoff,ok,30.66,491.6,489.89,0.996522,10,31.335,39.04,99.325,128.98,29.84,0.060543,0.058191,0.061733,0,0,0,0,0,0,0,0,0,20260508T082232+0900_968_gpu-server_mob050_dvfs2_cuda_v2.json
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,0.25,540.0,confirmed,ok,30.14,135.0,134.73,0.998,10,19.58,20.47,99.2,106.15,7.055,0.051343,0.039754,0.377303,0,0,0,0,0,0,0,0,0,20260508T083747+0900_261_gpu-server_mob050_dvfs3_cuda_v2.json
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,0.5,540.0,confirmed,ok,30.14,270.0,270.425,1.001574,10,21.995,23.38,99.425,114.29,14.79,0.054362,0.050488,0.059415,0,0,0,0,0,0,0,0,0,20260508T083747+0900_261_gpu-server_mob050_dvfs3_cuda_v2.json
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,0.75,540.0,confirmed,ok,30.14,405.0,405.29,1.000716,10,22.195,23.69,99.35,122.395,23.13,0.056753,0.056068,0.059404,0,0,0,0,0,0,0,0,0,20260508T083747+0900_261_gpu-server_mob050_dvfs3_cuda_v2.json
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,1.0,540.0,confirmed,ok,30.14,540.0,540.41,1.000759,10,29.625,46.01,99.925,130.065,30.065,0.055869,0.054424,0.056685,0,0,0,0,0,0,0,0,0,20260508T083747+0900_261_gpu-server_mob050_dvfs3_cuda_v2.json
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,0.25,568.6,confirmed_after_backoff,ok,33.57,142.15,141.8,0.997538,10,19.76,20.46,99.75,107.29,7.345,0.052616,0.039665,0.056921,0,0,0,0,0,0,0,0,0,20260508T084941+0900_330_gpu-server_mob050_dvfs4_cuda_v2.json
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,0.5,568.6,confirmed_after_backoff,ok,33.57,284.3,284.29,0.999965,10,21.885,22.87,100.15,116.13,16.015,0.056697,0.053636,0.059701,0,0,0,0,0,0,0,0,0,20260508T084941+0900_330_gpu-server_mob050_dvfs4_cuda_v2.json
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,0.75,568.6,confirmed_after_backoff,ok,33.57,426.45,425.94,0.998804,10,21.48,22.27,100.175,125.105,24.835,0.058252,0.054936,0.059679,0,0,0,0,0,0,0,0,0,20260508T084941+0900_330_gpu-server_mob050_dvfs4_cuda_v2.json
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,1.0,568.6,confirmed_after_backoff,ok,33.57,568.6,569.765,1.002049,10,36.435,106.6,100.3,133.265,32.96,0.058064,0.056231,0.059685,0,1,0,0,0,1,0,0,0,20260508T084941+0900_330_gpu-server_mob050_dvfs4_cuda_v2.json
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,0.25,607.5,confirmed,ok,35.64,151.88,152.415,1.003523,10,20.44,21.57,100.9,108.405,7.46,0.049523,0.043908,0.053874,0,0,0,0,0,0,0,0,0,20260508T090801+0900_634_gpu-server_mob050_dvfs5_cuda_v2.json
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,0.5,607.5,confirmed,ok,35.64,303.75,302.3,0.995226,10,21.995,24.13,100.5,117.57,17.1,0.056448,0.054684,0.060552,0,0,0,0,0,0,0,0,0,20260508T090801+0900_634_gpu-server_mob050_dvfs5_cuda_v2.json
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,0.75,607.5,confirmed,ok,35.64,455.62,454.56,0.997673,10,21.81,23.92,100.1,126.325,26.365,0.058054,0.056481,0.059136,0,0,0,0,0,0,0,0,0,20260508T090801+0900_634_gpu-server_mob050_dvfs5_cuda_v2.json
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,1.0,607.5,confirmed,ok,35.64,607.5,607.51,1.000016,10,93.085,1104.16,100.5,134.545,34.08,0.056074,0.055224,0.057448,0,1,0,0,0,4,0,0,0,20260508T090801+0900_634_gpu-server_mob050_dvfs5_cuda_v2.json
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,0.25,562.5,confirmed,ok,35.26,140.62,139.55,0.992391,10,19.825,20.35,102.6,110.19,7.625,0.055058,0.05023,0.059398,0,0,0,0,0,0,0,0,0,20260508T091939+0900_835_gpu-server_mob050_dvfs6_cuda_v2.json
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,0.5,562.5,confirmed,ok,35.26,281.25,280.715,0.998098,10,21.92,22.57,102.325,119.435,17.18,0.061135,0.058094,0.063473,0,0,0,0,0,0,0,0,0,20260508T091939+0900_835_gpu-server_mob050_dvfs6_cuda_v2.json
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,0.75,562.5,confirmed,ok,35.26,421.88,421.875,0.999988,10,22.0,22.91,103.125,128.44,25.49,0.060326,0.057703,0.061758,0,0,0,0,0,0,0,0,0,20260508T091939+0900_835_gpu-server_mob050_dvfs6_cuda_v2.json
