device,model,dvfs_mode,dvfs_mode_label,condition_tag,expected_ep,capacity_ips,capacity_ci_low,capacity_ci_high,capacity_selection,capacity_confirmed,power_status,power_samples,warm_idle_w,serving_w,delta_w,source_json,batch_size
gpu-server,efficientnet-b4,0,300MHz,dvfs0,CUDAExecutionProvider,5.4,5.4,5.6,confirmed,true,ok,2266,97.65,103.17,5.52,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,CUDAExecutionProvider,42.2,42.2,43.6,confirmed,true,ok,1671,100.0,129.23,29.23,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,CUDAExecutionProvider,59.1,59.1,61.9,confirmed,true,ok,1509,99.95,139.83,39.88,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json,1
gpu-server,efficientnet-b4,3,810MHz,dvfs3,CUDAExecutionProvider,75.9,75.9,78.8,confirmed,true,ok,1480,99.9,147.36,47.46,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json,1
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,CUDAExecutionProvider,88.2,88.2,91.6,confirmed,true,ok,1300,101.1,153.97,52.87,20260514T094010+0900_638_gpu-server_effb4_dvfs4_cuda_v2.json,1
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,CUDAExecutionProvider,112.5,112.5,115.3,confirmed,true,ok,1494,102.75,165.96,63.21,20260514T095159+0900_494_gpu-server_effb4_dvfs5_cuda_v2.json,1
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,CUDAExecutionProvider,117.6,117.6,129.4,confirmed_after_backoff,true,ok,1705,106.8,178.54,71.74,20260514T100531+0900_157_gpu-server_effb4_dvfs6_cuda_v2.json,1
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,CUDAExecutionProvider,129.4,129.4,135.0,confirmed,true,ok,1311,109.25,206.63,97.38,20260514T102053+0900_176_gpu-server_effb4_dvfs7_cuda_v2.json,1
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,CUDAExecutionProvider,129.4,129.4,135.0,confirmed,true,ok,1304,119.7,250.99,131.29,20260514T103248+0900_338_gpu-server_effb4_dvfs8_cuda_v2.json,1
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,CUDAExecutionProvider,133.6,133.6,146.2,confirmed_after_backoff,true,ok,1731,127.2,277.22,150.02,20260514T104439+0900_521_gpu-server_effb4_dvfs9_cuda_v2.json,1
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,CUDAExecutionProvider,118.1,118.1,123.8,confirmed,true,ok,1338,134.6,278.53,143.93,20260514T110015+0900_003_gpu-server_effb4_dvfs10_cuda_v2.json,1
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,CUDAExecutionProvider,118.1,118.1,123.8,confirmed,true,ok,1341,139.1,276.71,137.61,20260514T111225+0900_310_gpu-server_effb4_dvfs11_cuda_v2.json,1
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,CUDAExecutionProvider,230.6,230.6,236.2,confirmed,true,ok,1505,94.6,122.2,27.6,20260508T075525+0900_374_gpu-server_mob050_dvfs0_cuda_v2.json,1
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,CUDAExecutionProvider,427.5,427.5,438.8,confirmed,true,ok,1526,97.55,127.88,30.33,20260508T080855+0900_067_gpu-server_mob050_dvfs1_cuda_v2.json,1
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,CUDAExecutionProvider,491.6,491.6,540.0,confirmed_after_backoff,true,ok,1706,98.0,128.66,30.66,20260508T082232+0900_968_gpu-server_mob050_dvfs2_cuda_v2.json,1
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,CUDAExecutionProvider,540.0,540.0,562.5,confirmed,true,ok,1328,99.05,129.19,30.14,20260508T083747+0900_261_gpu-server_mob050_dvfs3_cuda_v2.json,1
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,CUDAExecutionProvider,568.6,568.6,652.5,confirmed_after_backoff,true,ok,2064,97.75,131.32,33.57,20260508T084941+0900_330_gpu-server_mob050_dvfs4_cuda_v2.json,1
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,CUDAExecutionProvider,607.5,607.5,630.0,confirmed,true,ok,1296,99.75,135.39,35.64,20260508T090801+0900_634_gpu-server_mob050_dvfs5_cuda_v2.json,1
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,CUDAExecutionProvider,562.5,562.5,585.0,confirmed,true,ok,1311,101.2,136.46,35.26,20260508T091939+0900_835_gpu-server_mob050_dvfs6_cuda_v2.json,1
gpu-server,mobilenet-v2-050,7,1545MHz,dvfs7,CUDAExecutionProvider,585.0,585.0,607.5,confirmed,true,ok,1311,104.5,142.01,37.51,20260508T093125+0900_493_gpu-server_mob050_dvfs7_cuda_v2.json,1
gpu-server,mobilenet-v2-050,8,1710MHz,dvfs8,CUDAExecutionProvider,562.5,562.5,585.0,confirmed,true,ok,1306,110.35,153.71,43.36,20260508T094311+0900_073_gpu-server_mob050_dvfs8_cuda_v2.json,1
gpu-server,mobilenet-v2-050,9,1800MHz,dvfs9,CUDAExecutionProvider,598.5,598.5,652.5,confirmed_after_backoff,true,ok,1680,117.75,162.85,45.1,20260508T095455+0900_254_gpu-server_mob050_dvfs9_cuda_v2.json,1
gpu-server,mobilenet-v2-050,10,1905MHz,dvfs10,CUDAExecutionProvider,598.5,598.5,652.5,confirmed_after_backoff,true,ok,1682,124.65,178.97,54.32,20260508T100955+0900_500_gpu-server_mob050_dvfs10_cuda_v2.json,1
gpu-server,mobilenet-v2-050,11,1950MHz,dvfs11,CUDAExecutionProvider,585.0,585.0,607.5,confirmed,true,ok,1310,131.0,195.22,64.22,20260508T102456+0900_158_gpu-server_mob050_dvfs11_cuda_v2.json,1
gpu-server,mobilenet-v2-100,0,300MHz,dvfs0,CUDAExecutionProvider,168.8,168.8,175.8,confirmed,true,ok,1713,97.0,123.08,26.08,20260513T133034+0900_673_gpu-server_mob100_dvfs0_cuda_v2.json,1
gpu-server,mobilenet-v2-100,1,420MHz,dvfs1,CUDAExecutionProvider,307.3,307.3,337.5,confirmed_after_backoff,true,ok,1879,99.05,130.48,31.43,20260513T134653+0900_017_gpu-server_mob100_dvfs1_cuda_v2.json,1
gpu-server,mobilenet-v2-100,2,600MHz,dvfs2,CUDAExecutionProvider,421.9,421.9,435.9,confirmed,true,ok,1482,99.8,136.86,37.06,20260513T140400+0900_859_gpu-server_mob100_dvfs2_cuda_v2.json,1
gpu-server,mobilenet-v2-100,3,810MHz,dvfs3,CUDAExecutionProvider,480.9,480.9,520.3,confirmed_after_backoff,true,ok,1918,100.75,139.31,38.56,20260513T141730+0900_995_gpu-server_mob100_dvfs3_cuda_v2.json,1
gpu-server,mobilenet-v2-100,4,1005MHz,dvfs4,CUDAExecutionProvider,510.1,510.1,528.9,confirmed,true,ok,1300,100.6,141.39,40.79,20260513T143437+0900_400_gpu-server_mob100_dvfs4_cuda_v2.json,1
gpu-server,mobilenet-v2-100,5,1200MHz,dvfs5,CUDAExecutionProvider,590.6,590.6,618.8,confirmed,true,ok,1360,101.7,146.89,45.19,20260513T144618+0900_482_gpu-server_mob100_dvfs5_cuda_v2.json,1
gpu-server,mobilenet-v2-100,6,1410MHz,dvfs6,CUDAExecutionProvider,548.4,548.4,562.5,confirmed,true,ok,1486,104.2,148.51,44.31,20260513T145831+0900_449_gpu-server_mob100_dvfs6_cuda_v2.json,1
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,CUDAExecutionProvider,547.7,547.7,590.6,confirmed_after_backoff,true,ok,1863,107.55,156.44,48.89,20260513T151151+0900_080_gpu-server_mob100_dvfs7_cuda_v2.json,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,CUDAExecutionProvider,534.4,534.4,576.6,confirmed_after_backoff,true,ok,1872,113.6,172.13,58.53,20260513T152830+0900_358_gpu-server_mob100_dvfs8_cuda_v2.json,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,CUDAExecutionProvider,548.4,548.4,562.5,confirmed,true,ok,1482,113.9,187.86,73.96,20260513T182445+0900_251_gpu-server_mob100_dvfs9_cuda_v2.json,1
gpu-server,mobilenet-v2-100,10,1905MHz,dvfs10,CUDAExecutionProvider,590.6,590.6,618.8,confirmed,true,ok,1347,130.15,241.38,111.23,20260513T183803+0900_374_gpu-server_mob100_dvfs10_cuda_v2.json,1
gpu-server,mobilenet-v2-100,11,1950MHz,dvfs11,CUDAExecutionProvider,562.5,562.5,576.6,confirmed,true,ok,1499,143.0,238.1,95.1,20260513T185009+0900_514_gpu-server_mob100_dvfs11_cuda_v2.json,1
jetson,mobilenet-v2-050,0,MAXN,dvfs0,TensorrtExecutionProvider,98.9,98.9,106.9,confirmed_after_backoff,true,ok,1863,3.0,7.82,4.82,20260508T054140+0900_186_jetson_mob050_dvfs0_trt_v2.json,1
jetson,mobilenet-v2-050,1,5W,dvfs1,TensorrtExecutionProvider,64.1,64.1,70.3,confirmed_after_backoff,true,ok,1860,3.0,4.62,1.62,20260508T055928+0900_470_jetson_mob050_dvfs1_trt_v2.json,1
jetson,mobilenet-v2-100,0,MAXN,dvfs0,TensorrtExecutionProvider,49.6,49.6,54.4,confirmed_after_backoff,true,ok,1680,3.0,7.37,4.37,20260513T133045+0900_714_jetson_mob100_dvfs0_trt_v2.json,1
jetson,mobilenet-v2-100,1,5W,dvfs1,TensorrtExecutionProvider,32.0,32.0,32.8,confirmed,true,ok,1663,3.0,4.46,1.46,20260513T134707+0900_056_jetson_mob100_dvfs1_trt_v2.json,1
lattepanda,mobilenet-v2-050,0,fixed,dvfs0,CPUExecutionProvider,136.3,136.3,147.7,confirmed_after_backoff,true,ok,1930,4.3,15.22,10.92,20260508T054153+0900_817_lattepanda_mob050_dvfs0_cpu_v2.json,1
lattepanda,mobilenet-v2-100,0,fixed,dvfs0,CPUExecutionProvider,49.1,49.1,51.3,confirmed,true,ok,1304,4.4,15.29,10.89,20260513T133059+0900_495_lattepanda_mob100_dvfs0_cpu_v2.json,1
orangepi,mobilenet-v2-050,0,fixed,dvfs0,CPUExecutionProvider,98.4,98.4,103.1,confirmed,true,ok,1327,2.7,12.46,9.76,20260508T054204+0900_373_orangepi_mob050_dvfs0_cpu_v2.json,1
orangepi,mobilenet-v2-100,0,fixed,dvfs0,CPUExecutionProvider,41.0,41.0,45.2,confirmed_after_backoff,true,ok,1673,2.7,11.29,8.59,20260513T133110+0900_296_orangepi_mob100_dvfs0_cpu_v2.json,1
orangepi-npu,mobilenet-v2-050,0,fixed,dvfs0,RKNPUExecutionProvider,234.4,234.4,242.2,confirmed,true,ok,1287,2.9,5.28,2.38,20260508T055428+0900_190_orangepi-npu_mob050_dvfs0_rknpu_v2.json,1
orangepi-npu,mobilenet-v2-100,0,fixed,dvfs0,RKNPUExecutionProvider,155.6,155.6,161.5,confirmed,true,ok,1337,2.7,5.13,2.43,20260513T134635+0900_184_orangepi-npu_mob100_dvfs0_rknpu_v2.json,1
orin,efficientnet-b4,0,MAXN,dvfs0,TensorrtExecutionProvider,77.5,77.5,80.0,confirmed,true,ok,1275,13.0,37.31,24.31,20260514T083718+0900_369_orin_effb4_dvfs0_trt_v2.json,1
orin,efficientnet-b4,1,MODE_15W,dvfs1,TensorrtExecutionProvider,6.6,6.6,6.9,confirmed,true,ok,1616,9.2,10.66,1.46,20260514T085141+0900_973_orin_effb4_dvfs1_trt_v2.json,1
orin,efficientnet-b4,2,MODE_30W,dvfs2,TensorrtExecutionProvider,22.6,22.6,25.7,confirmed_after_backoff,true,ok,2176,10.9,15.94,5.04,20260514T091215+0900_227_orin_effb4_dvfs2_trt_v2.json,1
orin,efficientnet-b4,3,MODE_50W,dvfs3,TensorrtExecutionProvider,48.8,48.8,50.0,confirmed,true,ok,1451,11.2,23.0,11.8,20260514T093553+0900_346_orin_effb4_dvfs3_trt_v2.json,1
orin,mobilenet-v2-050,0,MAXN,dvfs0,TensorrtExecutionProvider,718.8,718.8,750.0,confirmed,true,ok,1465,12.95,23.86,10.91,20260508T054215+0900_396_orin_mob050_dvfs0_trt_v2.json,1
orin,mobilenet-v2-050,1,MODE_15W,dvfs1,TensorrtExecutionProvider,226.6,226.6,234.4,confirmed,true,ok,1319,9.2,11.57,2.37,20260508T055702+0900_152_orin_mob050_dvfs1_trt_v2.json,1
orin,mobilenet-v2-050,2,MODE_30W,dvfs2,TensorrtExecutionProvider,390.6,390.6,406.2,confirmed,true,ok,1337,10.95,14.44,3.49,20260508T061059+0900_113_orin_mob050_dvfs2_trt_v2.json,1
orin,mobilenet-v2-050,3,MODE_50W,dvfs3,TensorrtExecutionProvider,484.4,484.4,500.0,confirmed,true,ok,1279,11.3,16.55,5.25,20260508T062449+0900_472_orin_mob050_dvfs3_trt_v2.json,1
orin,mobilenet-v2-100,0,MAXN,dvfs0,TensorrtExecutionProvider,618.8,618.8,637.5,confirmed,true,ok,1700,12.9,27.18,14.28,20260513T133121+0900_384_orin_mob100_dvfs0_trt_v2.json,1
orin,mobilenet-v2-100,1,MODE_15W,dvfs1,TensorrtExecutionProvider,168.8,168.8,173.4,confirmed,true,ok,1508,9.2,12.1,2.9,20260513T134751+0900_190_orin_mob100_dvfs1_trt_v2.json,1
orin,mobilenet-v2-100,2,MODE_30W,dvfs2,TensorrtExecutionProvider,316.4,316.4,328.6,confirmed,true,ok,1319,10.9,15.36,4.46,20260513T140350+0900_101_orin_mob100_dvfs2_trt_v2.json,1
orin,mobilenet-v2-100,3,MODE_50W,dvfs3,TensorrtExecutionProvider,409.7,409.7,450.0,confirmed_after_backoff,true,ok,1707,11.3,18.25,6.95,20260513T141749+0900_557_orin_mob100_dvfs3_trt_v2.json,1
orin-nano,efficientnet-b4,0,15W,dvfs0,TensorrtExecutionProvider,18.4,18.4,19.0,confirmed,true,ok,1441,6.35,10.72,4.37,20260512T030915+0900_753_orin-nano_effb4_dvfs0_trt_v2.json,1
orin-nano,efficientnet-b4,1,25W,dvfs1,TensorrtExecutionProvider,28.8,28.8,30.1,confirmed,true,ok,1302,6.85,13.85,7.0,20260512T032550+0900_257_orin-nano_effb4_dvfs1_trt_v2.json,1
orin-nano,efficientnet-b4,2,MAXN_SUPER,dvfs2,TensorrtExecutionProvider,28.3,28.3,29.7,confirmed,true,ok,1310,7.1,14.41,7.31,20260512T034056+0900_403_orin-nano_effb4_dvfs2_trt_v2.json,1
orin-nano,efficientnet-b4,3,7W,dvfs3,TensorrtExecutionProvider,2.0,2.0,2.1,confirmed,true,ok,1678,5.7,6.14,0.44,20260512T035546+0900_630_orin-nano_effb4_dvfs3_trt_v2.json,1
orin-nano,mobilenet-v2-050,0,15W,dvfs0,TensorrtExecutionProvider,494.2,494.2,511.9,confirmed,true,ok,1308,6.4,10.35,3.95,20260512T041656+0900_157_orin-nano_mob050_dvfs0_trt_v2.json,1
orin-nano,mobilenet-v2-050,1,25W,dvfs1,TensorrtExecutionProvider,618.4,618.4,640.5,confirmed,true,ok,1307,6.7,11.99,5.29,20260512T043047+0900_008_orin-nano_mob050_dvfs1_trt_v2.json,1
orin-nano,mobilenet-v2-050,2,MAXN_SUPER,dvfs2,TensorrtExecutionProvider,663.5,663.5,722.5,confirmed_after_backoff,true,ok,1668,7.1,13.01,5.91,20260512T044330+0900_242_orin-nano_mob050_dvfs2_trt_v2.json,1
orin-nano,mobilenet-v2-050,3,7W,dvfs3,TensorrtExecutionProvider,268.3,268.3,277.8,confirmed,true,ok,1300,5.6,7.94,2.34,20260512T050110+0900_867_orin-nano_mob050_dvfs3_trt_v2.json,1
orin-nano,mobilenet-v2-100,0,15W,dvfs0,TensorrtExecutionProvider,353.9,353.9,366.5,confirmed,true,ok,1302,6.4,11.61,5.21,20260512T053025+0900_936_orin-nano_mob100_dvfs0_trt_v2.json,1
orin-nano,mobilenet-v2-100,1,25W,dvfs1,TensorrtExecutionProvider,446.9,446.9,462.8,confirmed,true,ok,1312,6.7,13.67,6.97,20260512T054322+0900_161_orin-nano_mob100_dvfs1_trt_v2.json,1
orin-nano,mobilenet-v2-100,2,MAXN_SUPER,dvfs2,TensorrtExecutionProvider,494.8,494.8,511.9,confirmed,true,ok,1295,7.1,15.1,8.0,20260512T055622+0900_373_orin-nano_mob100_dvfs2_trt_v2.json,1
orin-nano,mobilenet-v2-100,3,7W,dvfs3,TensorrtExecutionProvider,177.0,177.0,183.3,confirmed,true,ok,1302,5.7,8.44,2.74,20260512T060908+0900_650_orin-nano_mob100_dvfs3_trt_v2.json,1
rasp5,mobilenet-v2-050,0,fixed,dvfs0,CPUExecutionProvider,42.9,42.9,49.0,confirmed_after_backoff,true,ok,2270,4.7,9.21,4.51,20260508T054216+0900_706_rasp5_mob050_dvfs0_cpu_v2.json,1
rasp5,mobilenet-v2-100,0,fixed,dvfs0,CPUExecutionProvider,12.7,12.7,13.2,confirmed,true,ok,1439,4.8,7.45,2.65,20260513T133122+0900_572_rasp5_mob100_dvfs0_cpu_v2.json,1
xavier,efficientnet-b4,0,MODE_15W_2CORE,dvfs0,TensorrtExecutionProvider,7.8,7.8,8.1,confirmed,true,ok,1290,10.0,14.25,4.25,20260514T083731+0900_371_xavier_effb4_dvfs0_trt_v2.json,1
xavier,efficientnet-b4,1,MODE_15W_4CORE,dvfs1,TensorrtExecutionProvider,8.4,8.4,8.8,confirmed,true,ok,1277,9.85,14.86,5.01,20260514T085247+0900_692_xavier_effb4_dvfs1_trt_v2.json,1
xavier,efficientnet-b4,2,MODE_15W_6CORE,dvfs2,TensorrtExecutionProvider,9.2,9.2,10.0,confirmed_after_backoff,true,ok,1631,10.05,15.54,5.49,20260514T090838+0900_670_xavier_effb4_dvfs2_trt_v2.json,1
xavier,efficientnet-b4,3,MODE_10W_2CORE,dvfs3,TensorrtExecutionProvider,5.5,5.5,5.6,confirmed,true,ok,1422,9.55,11.98,2.43,20260514T092737+0900_735_xavier_effb4_dvfs3_trt_v2.json,1
xavier,efficientnet-b4,4,MODE_10W_4CORE,dvfs4,TensorrtExecutionProvider,5.2,5.2,5.9,confirmed_after_backoff,true,ok,2150,9.55,11.9,2.35,20260514T094447+0900_333_xavier_effb4_dvfs4_trt_v2.json,1
xavier,efficientnet-b4,5,MODE_10W_DESKTOP,dvfs5,TensorrtExecutionProvider,1.1,1.1,1.1,confirmed,true,ok,1795,9.6,10.09,0.49,20260514T100910+0900_243_xavier_effb4_dvfs5_trt_v2.json,1
xavier,efficientnet-b4,6,MODE_20W_2CORE,dvfs6,TensorrtExecutionProvider,8.4,8.4,8.8,confirmed,true,ok,1281,10.15,15.26,5.11,20260514T102908+0900_841_xavier_effb4_dvfs6_trt_v2.json,1
xavier,efficientnet-b4,7,MODE_20W_4CORE,dvfs7,TensorrtExecutionProvider,9.7,9.7,10.0,confirmed,true,ok,1260,10.2,15.85,5.65,20260514T104421+0900_359_xavier_effb4_dvfs7_trt_v2.json,1
xavier,efficientnet-b4,8,MODE_20W_6CORE,dvfs8,TensorrtExecutionProvider,10.7,10.7,11.6,confirmed_after_backoff,true,ok,1796,10.5,16.8,6.3,20260514T105958+0900_396_xavier_effb4_dvfs8_trt_v2.json,1
xavier,mobilenet-v2-050,0,MODE_15W_2CORE,dvfs0,TensorrtExecutionProvider,256.2,256.2,262.5,confirmed,true,ok,1489,9.6,15.59,5.99,20260508T054227+0900_623_xavier_mob050_dvfs0_trt_v2.json,1
xavier,mobilenet-v2-050,1,MODE_15W_4CORE,dvfs1,TensorrtExecutionProvider,275.0,275.0,287.5,confirmed,true,ok,1349,9.8,16.02,6.22,20260508T055620+0900_882_xavier_mob050_dvfs1_trt_v2.json,1
xavier,mobilenet-v2-050,2,MODE_15W_6CORE,dvfs2,TensorrtExecutionProvider,287.5,287.5,300.0,confirmed,true,ok,1337,9.8,16.41,6.61,20260508T060901+0900_576_xavier_mob050_dvfs2_trt_v2.json,1
xavier,mobilenet-v2-050,3,MODE_10W_2CORE,dvfs3,TensorrtExecutionProvider,218.8,218.8,225.0,confirmed,true,ok,1508,9.6,13.37,3.77,20260508T062135+0900_807_xavier_mob050_dvfs3_trt_v2.json,1
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,TensorrtExecutionProvider,225.6,225.6,243.8,confirmed_after_backoff,true,ok,1874,9.6,13.54,3.94,20260508T063545+0900_757_xavier_mob050_dvfs4_trt_v2.json,1
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,TensorrtExecutionProvider,212.5,212.5,218.8,confirmed,true,ok,1525,9.8,14.37,4.57,20260508T065832+0900_837_xavier_mob050_dvfs5_trt_v2.json,1
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,TensorrtExecutionProvider,273.1,273.1,300.0,confirmed_after_backoff,true,ok,1681,10.1,16.52,6.42,20260508T071244+0900_834_xavier_mob050_dvfs6_trt_v2.json,1
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,TensorrtExecutionProvider,287.5,287.5,300.0,confirmed,true,ok,1320,10.2,16.81,6.61,20260508T072822+0900_938_xavier_mob050_dvfs7_trt_v2.json,1
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,TensorrtExecutionProvider,300.0,300.0,312.5,confirmed,true,ok,1352,10.4,17.24,6.84,20260508T074050+0900_202_xavier_mob050_dvfs8_trt_v2.json,1
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,TensorrtExecutionProvider,211.2,211.2,219.4,confirmed,true,ok,1300,9.7,18.14,8.44,20260513T133133+0900_846_xavier_mob100_dvfs0_trt_v2.json,1
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,TensorrtExecutionProvider,216.1,216.1,235.6,confirmed_after_backoff,true,ok,1661,9.95,18.55,8.6,20260513T134400+0900_181_xavier_mob100_dvfs1_trt_v2.json,1
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,TensorrtExecutionProvider,219.4,219.4,227.5,confirmed,true,ok,1279,10.05,18.67,8.62,20260513T135939+0900_623_xavier_mob100_dvfs2_trt_v2.json,1
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,TensorrtExecutionProvider,170.6,170.6,178.8,confirmed,true,ok,1327,9.55,14.89,5.34,20260513T141150+0900_477_xavier_mob100_dvfs3_trt_v2.json,1
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,TensorrtExecutionProvider,169.8,169.8,186.9,confirmed_after_backoff,true,ok,1690,9.7,14.97,5.27,20260513T142429+0900_230_xavier_mob100_dvfs4_trt_v2.json,1
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,TensorrtExecutionProvider,145.9,145.9,151.3,confirmed,true,ok,1292,9.7,15.4,5.7,20260513T144019+0900_721_xavier_mob100_dvfs5_trt_v2.json,1
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,TensorrtExecutionProvider,219.4,219.4,227.5,confirmed,true,ok,1285,10.2,19.13,8.93,20260513T145230+0900_144_xavier_mob100_dvfs6_trt_v2.json,1
xavier,mobilenet-v2-100,7,MODE_20W_4CORE,dvfs7,TensorrtExecutionProvider,227.5,227.5,235.6,confirmed,true,ok,1293,10.45,19.38,8.93,20260513T150433+0900_427_xavier_mob100_dvfs7_trt_v2.json,1
xavier,mobilenet-v2-100,8,MODE_20W_6CORE,dvfs8,TensorrtExecutionProvider,235.6,235.6,243.8,confirmed,true,ok,1281,10.85,19.98,9.13,20260513T151647+0900_100_xavier_mob100_dvfs8_trt_v2.json,1
