device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,server,547.7,0.75,410.78,10,410.405,406.7,412.18,22.715,23.46,105.975,141.385,35.31,0.086154,0.084599,0.089267,1
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,server,547.7,1.0,547.7,10,548.675,540.75,552.92,34.295,187.8,106.55,153.595,46.88,0.085797,0.083754,0.087482,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,0.25,133.6,10,132.175,130.65,133.48,20.44,21.71,110.8,122.375,11.795,0.088666,0.083871,0.101015,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,0.5,267.2,10,266.855,265.62,269.72,22.565,23.47,112.3,138.305,26.005,0.097631,0.092652,0.100944,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,0.75,400.8,10,401.475,395.5,405.43,23.0,24.23,114.0,154.895,40.83,0.102288,0.097899,0.10418,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,1.0,534.4,10,535.225,529.97,539.88,37.255,128.5,114.325,168.97,54.69,0.102023,0.100745,0.104364,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,0.25,137.1,10,137.0,134.62,138.08,20.43,21.91,117.2,130.35,13.275,0.097074,0.088741,0.101162,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,0.5,274.2,10,273.2,269.8,276.08,22.35,23.05,116.95,145.66,28.785,0.105629,0.103076,0.109234,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,0.75,411.3,10,410.36,406.83,414.83,22.07,23.7,117.9,162.24,44.44,0.108152,0.106337,0.110415,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,1.0,548.4,10,550.015,543.13,553.03,39.54,69.61,118.875,178.555,59.835,0.109117,0.107818,0.1097,1
gpu-server,mobilenet-v2-100,10,1905MHz,dvfs10,server,590.6,0.25,147.65,10,147.31,144.9,148.42,20.415,21.55,126.675,143.665,17.26,0.117275,0.107558,0.12058,1
gpu-server,mobilenet-v2-100,10,1905MHz,dvfs10,server,590.6,0.5,295.3,10,296.615,292.73,297.93,22.76,23.99,127.95,166.325,38.145,0.129729,0.126531,0.13273,1
gpu-server,mobilenet-v2-100,10,1905MHz,dvfs10,server,590.6,0.75,442.95,10,442.85,437.75,448.85,22.33,23.14,133.775,197.58,62.835,0.14177,0.134917,0.145489,1
gpu-server,mobilenet-v2-100,10,1905MHz,dvfs10,server,590.6,1.0,590.6,10,591.875,587.37,594.83,60.65,305.92,145.0,240.855,94.59,0.160368,0.154605,0.167575,1
gpu-server,mobilenet-v2-100,11,1950MHz,dvfs11,server,562.5,0.25,140.62,10,140.95,138.95,143.52,20.07,21.32,135.725,153.27,17.57,0.123694,0.119373,0.134139,1
gpu-server,mobilenet-v2-100,11,1950MHz,dvfs11,server,562.5,0.5,281.25,10,281.61,280.05,284.52,22.36,23.48,137.05,176.855,39.615,0.14043,0.13746,0.144705,1
gpu-server,mobilenet-v2-100,11,1950MHz,dvfs11,server,562.5,0.75,421.88,10,422.315,417.85,426.92,22.72,23.18,140.975,205.73,64.26,0.15278,0.150399,0.155123,1
gpu-server,mobilenet-v2-100,11,1950MHz,dvfs11,server,562.5,1.0,562.5,10,561.525,558.97,566.4,39.89,121.35,146.35,236.905,92.05,0.163301,0.157834,0.1683,1
jetson,mobilenet-v2-050,0,MAXN,dvfs0,jetson,98.9,0.25,24.73,10,24.54,23.98,25.13,20.145,20.63,3.0,3.97,0.97,0.039134,0.037008,0.042952,1
jetson,mobilenet-v2-050,0,MAXN,dvfs0,jetson,98.9,0.5,49.45,10,49.055,48.45,50.57,25.405,26.69,3.0,5.18,2.18,0.04408,0.043372,0.046359,1
jetson,mobilenet-v2-050,0,MAXN,dvfs0,jetson,98.9,0.75,74.18,10,74.115,73.22,76.58,37.485,41.37,3.0,6.435,3.435,0.046404,0.044267,0.046999,1
jetson,mobilenet-v2-050,0,MAXN,dvfs0,jetson,98.9,1.0,98.9,10,98.115,96.23,99.7,72.11,85.79,3.0,7.745,4.685,0.047837,0.044194,0.049153,1
jetson,mobilenet-v2-050,1,5W,dvfs1,jetson,64.1,0.25,16.02,10,16.205,15.65,17.03,27.175,27.96,2.55,3.125,0.54,0.032868,0.009299,0.05419,1
jetson,mobilenet-v2-050,1,5W,dvfs1,jetson,64.1,0.5,32.05,10,31.95,30.92,33.25,34.335,35.59,2.2,3.54,1.315,0.041368,0.035045,0.043014,1
jetson,mobilenet-v2-050,1,5W,dvfs1,jetson,64.1,0.75,48.07,10,48.235,46.15,49.67,47.0,56.21,2.4,4.07,1.675,0.034661,0.021224,0.038787,1
jetson,mobilenet-v2-050,1,5W,dvfs1,jetson,64.1,1.0,64.1,10,63.94,62.77,65.37,76.865,89.59,2.4,4.575,2.125,0.033042,0.023876,0.037881,1
jetson,mobilenet-v2-100,0,MAXN,dvfs0,jetson,49.6,0.25,12.4,10,12.435,12.1,13.05,29.825,32.09,3.0,3.84,0.84,0.067795,0.061748,0.069805,1
jetson,mobilenet-v2-100,0,MAXN,dvfs0,jetson,49.6,0.5,24.8,10,24.975,24.43,25.62,39.23,41.53,3.0,4.945,1.945,0.078343,0.074306,0.081326,1
jetson,mobilenet-v2-100,0,MAXN,dvfs0,jetson,49.6,0.75,37.2,10,37.615,36.07,39.03,52.98,56.74,3.0,6.17,3.155,0.084394,0.081508,0.085252,1
jetson,mobilenet-v2-100,0,MAXN,dvfs0,jetson,49.6,1.0,49.6,10,49.17,48.47,50.05,81.635,95.68,3.0,7.29,4.29,0.086872,0.084401,0.088921,1
jetson,mobilenet-v2-100,1,5W,dvfs1,jetson,32.0,0.25,8.0,10,8.025,7.58,8.53,41.295,44.42,2.4,3.03,0.59,0.075465,0.017606,0.1025,1
jetson,mobilenet-v2-100,1,5W,dvfs1,jetson,32.0,0.5,16.0,10,16.01,15.73,16.88,50.32,58.04,2.35,3.47,1.125,0.070816,0.04768,0.079874,1
jetson,mobilenet-v2-100,1,5W,dvfs1,jetson,32.0,0.75,24.0,10,23.965,22.82,24.63,64.63,76.51,2.4,3.92,1.535,0.064409,0.052585,0.073523,1
jetson,mobilenet-v2-100,1,5W,dvfs1,jetson,32.0,1.0,32.0,10,32.235,31.63,33.32,89.95,113.37,2.3,4.38,2.07,0.064303,0.054623,0.068597,1
lattepanda,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,136.3,0.25,34.08,10,34.185,32.8,34.8,12.77,13.25,4.475,10.7,6.235,0.182466,0.17931,0.18811,1
lattepanda,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,136.3,0.5,68.15,10,68.25,66.18,69.17,17.615,18.44,4.5,12.76,8.295,0.122053,0.119936,0.123687,1
lattepanda,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,136.3,0.75,102.23,10,102.09,101.2,103.25,26.35,27.62,4.5,14.98,10.505,0.102854,0.10154,0.104017,1
lattepanda,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,136.3,1.0,136.3,10,135.695,134.75,137.57,62.85,118.21,4.5,16.03,11.515,0.084627,0.083643,0.085398,1
lattepanda,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,49.1,0.25,12.28,10,12.54,12.07,12.8,27.075,27.47,4.5,10.585,6.09,0.488967,0.475,0.504557,1
lattepanda,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,49.1,0.5,24.55,10,24.435,23.55,25.03,33.515,36.22,4.45,12.36,7.935,0.324908,0.313224,0.331109,1
lattepanda,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,49.1,0.75,36.83,10,36.7,35.48,38.35,42.46,49.63,4.5,14.285,9.84,0.269023,0.259452,0.273705,1
lattepanda,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,49.1,1.0,49.1,10,48.685,47.22,49.45,75.975,96.38,4.45,15.79,11.35,0.233648,0.229039,0.237399,1
orangepi,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,98.4,0.25,24.6,10,24.46,23.92,25.1,35.5,38.94,2.7,6.665,3.96,0.16225,0.158581,0.164763,1
orangepi,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,98.4,0.5,49.2,10,48.9,47.38,51.38,37.79,39.1,2.7,9.095,6.335,0.130071,0.128065,0.132125,1
orangepi,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,98.4,0.75,73.8,10,73.59,71.63,75.43,43.215,45.02,2.8,10.975,8.175,0.11109,0.109903,0.112383,1
orangepi,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,98.4,1.0,98.4,10,98.045,95.75,100.02,72.355,82.13,2.8,12.475,9.665,0.098452,0.097281,0.099265,1
orangepi,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,41.0,0.25,10.25,10,10.025,9.52,10.83,52.5,60.67,2.7,5.56,2.86,0.283712,0.274641,0.291667,1
orangepi,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,41.0,0.5,20.5,10,20.415,19.27,20.78,56.815,60.71,2.7,7.705,4.98,0.245053,0.241054,0.258394,1
orangepi,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,41.0,0.75,30.75,10,30.8,29.53,31.85,65.905,71.47,2.75,9.61,6.86,0.223934,0.216587,0.226757,1
orangepi,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,41.0,1.0,41.0,10,41.15,39.97,41.88,82.495,104.47,2.8,11.165,8.365,0.204604,0.201914,0.207406,1
orangepi-npu,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,234.4,0.25,58.6,10,59.25,56.58,60.57,39.63,41.43,2.7,3.56,0.85,0.014472,0.013541,0.014958,1
orangepi-npu,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,234.4,0.5,117.2,10,117.44,114.15,119.37,33.58,40.55,2.7,4.22,1.52,0.012986,0.012863,0.013655,1
orangepi-npu,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,234.4,0.75,175.8,10,175.51,173.18,178.87,31.43,33.59,2.7,4.74,2.04,0.01162,0.011511,0.012318,1
orangepi-npu,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,234.4,1.0,234.4,10,234.1,232.83,238.97,86.3,475.8,2.7,5.24,2.54,0.010828,0.010787,0.010901,1
orangepi-npu,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,155.6,0.25,38.9,10,39.17,37.88,39.63,41.27,44.92,2.7,3.545,0.845,0.021476,0.019658,0.024093,1
orangepi-npu,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,155.6,0.5,77.8,10,77.335,75.58,79.62,50.965,55.0,2.7,4.17,1.47,0.019032,0.018714,0.02034,1
orangepi-npu,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,155.6,0.75,116.7,10,116.715,114.22,119.05,54.94,59.19,2.7,4.65,1.965,0.016769,0.016464,0.017777,1
orangepi-npu,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,155.6,1.0,155.6,10,155.885,153.78,157.18,78.595,88.17,2.7,5.055,2.355,0.015182,0.014978,0.015291,1
orin,efficientnet-b4,0,MAXN,dvfs0,jetson,77.5,0.25,19.38,10,19.75,18.85,20.4,23.38,23.83,13.575,19.6,6.045,0.306061,0.29951,0.311426,1
orin,efficientnet-b4,0,MAXN,dvfs0,jetson,77.5,0.5,38.75,10,38.985,37.67,40.47,30.18,32.02,13.7,25.425,11.725,0.301891,0.296354,0.310533,1
orin,efficientnet-b4,0,MAXN,dvfs0,jetson,77.5,0.75,58.12,10,58.31,55.88,60.1,43.15,47.39,13.7,31.45,17.715,0.303124,0.300858,0.305997,1
orin,efficientnet-b4,0,MAXN,dvfs0,jetson,77.5,1.0,77.5,10,77.3,75.9,78.67,78.055,86.05,13.875,37.4,23.55,0.305642,0.301978,0.307632,1
orin,efficientnet-b4,1,MODE_15W,dvfs1,jetson,6.6,0.25,1.65,10,1.635,1.33,1.8,72.655,83.77,9.1,9.51,0.41,0.255292,0.222222,0.278195,1
orin,efficientnet-b4,1,MODE_15W,dvfs1,jetson,6.6,0.5,3.3,10,3.275,2.78,3.6,78.37,87.43,9.0,9.905,0.905,0.265825,0.250814,0.277612,1
orin,efficientnet-b4,1,MODE_15W,dvfs1,jetson,6.6,0.75,4.95,10,4.96,4.45,5.23,89.63,99.61,9.0,10.27,1.255,0.250756,0.231461,0.265979,1
orin,efficientnet-b4,1,MODE_15W,dvfs1,jetson,6.6,1.0,6.6,10,6.58,6.02,7.18,99.375,110.35,9.025,10.695,1.635,0.250841,0.236652,0.266017,1
orin,efficientnet-b4,2,MODE_30W,dvfs2,jetson,22.6,0.25,5.65,10,5.675,4.88,6.08,47.0,51.75,10.8,12.05,1.225,0.218884,0.203571,0.233553,1
orin,efficientnet-b4,2,MODE_30W,dvfs2,jetson,22.6,0.5,11.3,10,11.395,10.8,11.92,55.27,59.93,10.8,13.345,2.525,0.222927,0.211915,0.232158,1
orin,efficientnet-b4,2,MODE_30W,dvfs2,jetson,22.6,0.75,16.95,10,17.15,16.43,18.23,69.965,73.66,10.9,14.6,3.735,0.219159,0.214482,0.223392,1
orin,efficientnet-b4,2,MODE_30W,dvfs2,jetson,22.6,1.0,22.6,10,22.7,21.92,23.43,90.645,105.09,10.9,15.83,4.945,0.220813,0.213814,0.224925,1
orin,efficientnet-b4,3,MODE_50W,dvfs3,jetson,48.8,0.25,12.2,10,12.375,11.5,12.97,30.255,31.05,11.2,14.05,2.9,0.229695,0.226016,0.248511,1
orin,efficientnet-b4,3,MODE_50W,dvfs3,jetson,48.8,0.5,24.4,10,24.72,23.72,25.3,36.605,40.1,11.175,16.94,5.745,0.234555,0.227751,0.243083,1
orin,efficientnet-b4,3,MODE_50W,dvfs3,jetson,48.8,0.75,36.6,10,37.3,36.18,38.33,48.855,52.09,11.2,19.97,8.77,0.236758,0.231985,0.239218,1
orin,efficientnet-b4,3,MODE_50W,dvfs3,jetson,48.8,1.0,48.8,10,49.17,47.53,49.88,71.555,78.64,11.3,22.76,11.485,0.234065,0.231282,0.237968,1
orin,mobilenet-v2-050,0,MAXN,dvfs0,jetson,718.8,0.25,179.7,10,180.91,177.08,183.27,7.26,7.42,13.1,15.93,2.83,0.015883,0.015587,0.016313,1
orin,mobilenet-v2-050,0,MAXN,dvfs0,jetson,718.8,0.5,359.4,10,360.495,358.92,363.82,8.385,9.19,13.2,18.725,5.575,0.015464,0.015145,0.015616,1
orin,mobilenet-v2-050,0,MAXN,dvfs0,jetson,718.8,0.75,539.1,10,538.855,532.32,543.88,12.34,12.87,13.25,21.375,8.105,0.01502,0.014939,0.015205,1
orin,mobilenet-v2-050,0,MAXN,dvfs0,jetson,718.8,1.0,718.8,10,716.8,713.3,725.85,94.62,184.29,13.3,23.925,10.63,0.014839,0.014763,0.014948,1
orin,mobilenet-v2-050,1,MODE_15W,dvfs1,jetson,226.6,0.25,56.65,10,57.185,55.9,58.52,12.2,12.45,9.1,9.81,0.685,0.012005,-0.007746,0.012528,1
orin,mobilenet-v2-050,1,MODE_15W,dvfs1,jetson,226.6,0.5,113.3,10,113.055,111.97,114.88,15.83,16.07,9.1,10.385,1.285,0.01137,0.011094,0.011626,1
orin,mobilenet-v2-050,1,MODE_15W,dvfs1,jetson,226.6,0.75,169.95,10,170.165,166.22,172.45,24.785,26.62,9.1,10.985,1.885,0.01113,0.010876,0.011272,1
orin,mobilenet-v2-050,1,MODE_15W,dvfs1,jetson,226.6,1.0,226.6,10,225.925,221.9,229.57,81.42,113.43,9.1,11.575,2.47,0.010889,0.010747,0.011046,1
orin,mobilenet-v2-050,2,MODE_30W,dvfs2,jetson,390.6,0.25,97.65,10,97.275,95.93,99.78,9.165,9.34,10.9,11.89,0.975,0.010063,0.009003,0.010323,1
orin,mobilenet-v2-050,2,MODE_30W,dvfs2,jetson,390.6,0.5,195.3,10,196.49,193.27,200.0,11.52,11.81,10.9,12.795,1.88,0.009606,0.00908,0.009771,1
orin,mobilenet-v2-050,2,MODE_30W,dvfs2,jetson,390.6,0.75,292.95,10,293.875,292.23,295.62,16.32,17.94,10.9,13.66,2.745,0.009351,0.009066,0.009451,1
orin,mobilenet-v2-050,2,MODE_30W,dvfs2,jetson,390.6,1.0,390.6,10,389.68,387.47,397.27,75.73,101.42,11.0,14.49,3.49,0.008979,0.008904,0.009219,1
orin,mobilenet-v2-050,3,MODE_50W,dvfs3,jetson,484.4,0.25,121.1,10,120.275,119.18,122.02,8.445,8.69,11.2,12.69,1.49,0.01234,0.010804,0.012712,1
orin,mobilenet-v2-050,3,MODE_50W,dvfs3,jetson,484.4,0.5,242.2,10,241.9,238.15,245.13,10.005,10.52,11.25,14.065,2.81,0.011608,0.011354,0.011883,1
orin,mobilenet-v2-050,3,MODE_50W,dvfs3,jetson,484.4,0.75,363.3,10,363.985,358.0,366.95,14.35,15.67,11.3,15.335,4.07,0.011166,0.011053,0.011465,1
orin,mobilenet-v2-050,3,MODE_50W,dvfs3,jetson,484.4,1.0,484.4,10,483.35,480.63,489.28,51.955,87.3,11.275,16.55,5.295,0.01093,0.010847,0.011157,1
orin,mobilenet-v2-100,0,MAXN,dvfs0,jetson,618.8,0.25,154.7,10,155.22,151.18,156.32,7.685,7.86,12.975,16.605,3.65,0.023491,0.022857,0.02422,1
orin,mobilenet-v2-100,0,MAXN,dvfs0,jetson,618.8,0.5,309.4,10,309.97,307.97,311.6,8.93,9.16,13.1,20.245,7.16,0.023127,0.022922,0.023524,1
orin,mobilenet-v2-100,0,MAXN,dvfs0,jetson,618.8,0.75,464.1,10,462.825,460.23,467.05,12.855,13.71,13.15,23.775,10.65,0.022923,0.022702,0.023119,1
orin,mobilenet-v2-100,0,MAXN,dvfs0,jetson,618.8,1.0,618.8,10,619.085,615.85,622.73,68.18,168.7,13.2,27.215,14.015,0.022678,0.022496,0.022759,1
orin,mobilenet-v2-100,1,MODE_15W,dvfs1,jetson,168.8,0.25,42.2,10,42.84,40.62,44.07,14.425,14.97,9.1,9.89,0.79,0.018565,0.017344,0.019324,1
orin,mobilenet-v2-100,1,MODE_15W,dvfs1,jetson,168.8,0.5,84.4,10,85.095,82.75,86.1,19.065,19.59,9.075,10.6,1.505,0.017759,0.017422,0.018954,1
orin,mobilenet-v2-100,1,MODE_15W,dvfs1,jetson,168.8,0.75,126.6,10,126.925,123.52,128.85,28.38,30.19,9.0,11.295,2.275,0.018046,0.017163,0.018285,1
orin,mobilenet-v2-100,1,MODE_15W,dvfs1,jetson,168.8,1.0,168.8,10,169.115,165.18,170.88,75.045,89.76,9.05,12.03,2.95,0.017646,0.017264,0.018046,1
orin,mobilenet-v2-100,2,MODE_30W,dvfs2,jetson,316.4,0.25,79.1,10,78.165,77.6,80.37,10.035,10.58,10.8,12.01,1.185,0.015266,0.013988,0.015851,1
orin,mobilenet-v2-100,2,MODE_30W,dvfs2,jetson,316.4,0.5,158.2,10,158.87,156.98,160.7,12.97,13.39,10.8,13.135,2.33,0.014686,0.014144,0.015059,1
orin,mobilenet-v2-100,2,MODE_30W,dvfs2,jetson,316.4,0.75,237.3,10,237.19,234.02,238.85,19.765,20.34,10.9,14.24,3.365,0.014147,0.014007,0.014531,1
orin,mobilenet-v2-100,2,MODE_30W,dvfs2,jetson,316.4,1.0,316.4,10,315.455,313.98,316.9,81.305,117.1,10.875,15.29,4.425,0.014004,0.013877,0.014285,1
orin,mobilenet-v2-100,3,MODE_50W,dvfs3,jetson,409.7,0.25,102.42,10,103.415,100.27,104.57,8.715,9.06,11.15,13.015,1.86,0.017966,0.017383,0.018705,1
orin,mobilenet-v2-100,3,MODE_50W,dvfs3,jetson,409.7,0.5,204.85,10,206.01,202.95,206.78,10.535,10.82,11.1,14.765,3.665,0.017779,0.017285,0.018049,1
orin,mobilenet-v2-100,3,MODE_50W,dvfs3,jetson,409.7,0.75,307.27,10,304.96,302.82,310.88,14.975,15.62,11.175,16.44,5.31,0.017308,0.01709,0.017608,1
orin,mobilenet-v2-100,3,MODE_50W,dvfs3,jetson,409.7,1.0,409.7,10,410.005,406.45,413.65,44.775,49.52,11.2,18.195,7.01,0.01707,0.016934,0.017362,1
orin-nano,efficientnet-b4,0,15W,dvfs0,jetson,18.4,0.25,4.6,10,4.485,4.33,4.78,48.815,54.16,6.3,7.425,1.1,0.242688,0.193995,0.253863,1
orin-nano,efficientnet-b4,0,15W,dvfs0,jetson,18.4,0.5,9.2,10,9.075,8.18,9.48,58.755,71.63,6.325,8.5,2.15,0.238935,0.229526,0.252834,1
orin-nano,efficientnet-b4,0,15W,dvfs0,jetson,18.4,0.75,13.8,10,13.59,13.22,14.23,70.89,74.4,6.35,9.58,3.25,0.24131,0.224607,0.246596,1
orin-nano,efficientnet-b4,0,15W,dvfs0,jetson,18.4,1.0,18.4,10,18.715,18.18,19.43,95.94,108.11,6.4,10.755,4.36,0.232151,0.225201,0.24035,1
orin-nano,efficientnet-b4,1,25W,dvfs1,jetson,28.8,0.25,7.2,10,7.015,6.67,7.93,44.515,46.68,6.7,8.475,1.69,0.243529,0.233883,0.253468,1
orin-nano,efficientnet-b4,1,25W,dvfs1,jetson,28.8,0.5,14.4,10,14.375,13.48,14.97,55.18,64.94,6.8,10.22,3.435,0.239422,0.233906,0.249163,1
orin-nano,efficientnet-b4,1,25W,dvfs1,jetson,28.8,0.75,21.6,10,21.62,20.5,22.23,71.015,77.68,6.725,11.905,5.18,0.241572,0.234346,0.247628,1
orin-nano,efficientnet-b4,1,25W,dvfs1,jetson,28.8,1.0,28.8,10,29.01,27.45,29.4,109.19,124.36,6.75,13.755,6.99,0.242114,0.23501,0.245537,1
orin-nano,efficientnet-b4,2,MAXN_SUPER,dvfs2,jetson,28.3,0.25,7.08,10,6.885,6.52,7.5,41.33,43.96,7.025,8.845,1.835,0.26312,0.233618,0.286558,1
orin-nano,efficientnet-b4,2,MAXN_SUPER,dvfs2,jetson,28.3,0.5,14.15,10,13.94,13.18,15.42,48.32,52.91,7.0,10.625,3.59,0.257561,0.24914,0.269347,1
orin-nano,efficientnet-b4,2,MAXN_SUPER,dvfs2,jetson,28.3,0.75,21.23,10,21.26,20.82,22.08,68.405,72.57,7.1,12.485,5.415,0.254385,0.247408,0.260789,1
orin-nano,efficientnet-b4,2,MAXN_SUPER,dvfs2,jetson,28.3,1.0,28.3,10,28.2,27.25,29.45,92.16,119.99,7.1,14.33,7.215,0.256056,0.251146,0.260792,1
orin-nano,efficientnet-b4,3,7W,dvfs3,jetson,2.0,0.25,0.5,10,0.515,0.28,0.67,62.425,69.61,5.6,5.73,0.115,0.240092,-0.184615,0.315789,1
orin-nano,efficientnet-b4,3,7W,dvfs3,jetson,2.0,0.5,1.0,10,0.995,0.73,1.15,64.14,115.03,5.6,5.865,0.28,0.271188,0.219178,0.410256,1
orin-nano,efficientnet-b4,3,7W,dvfs3,jetson,2.0,0.75,1.5,10,1.425,1.25,1.52,80.885,97.47,5.6,5.965,0.4,0.27864,0.230769,0.368,1
orin-nano,efficientnet-b4,3,7W,dvfs3,jetson,2.0,1.0,2.0,10,1.955,1.6,2.22,94.04,116.12,5.6,6.095,0.53,0.270451,0.251366,0.326829,1
orin-nano,mobilenet-v2-050,0,15W,dvfs0,jetson,494.2,0.25,123.55,10,124.39,122.83,126.88,5.835,6.0,6.3,7.395,1.095,0.008757,0.008379,0.009283,1
orin-nano,mobilenet-v2-050,0,15W,dvfs0,jetson,494.2,0.5,247.1,10,247.825,245.27,249.55,7.46,7.56,6.3,8.415,2.115,0.008557,0.008411,0.008672,1
orin-nano,mobilenet-v2-050,0,15W,dvfs0,jetson,494.2,0.75,370.65,10,370.565,365.12,373.28,11.23,11.78,6.3,9.39,3.085,0.008324,0.008176,0.008409,1
orin-nano,mobilenet-v2-050,0,15W,dvfs0,jetson,494.2,1.0,494.2,10,494.17,491.33,500.13,44.52,67.62,6.3,10.34,4.03,0.00816,0.00797,0.008219,1
orin-nano,mobilenet-v2-050,1,25W,dvfs1,jetson,618.4,0.25,154.6,10,153.85,152.07,155.2,5.065,5.1,6.7,8.105,1.405,0.009149,0.008902,0.009363,1
orin-nano,mobilenet-v2-050,1,25W,dvfs1,jetson,618.4,0.5,309.2,10,308.135,305.92,311.75,6.175,6.51,6.7,9.42,2.71,0.008825,0.008597,0.008877,1
orin-nano,mobilenet-v2-050,1,25W,dvfs1,jetson,618.4,0.75,463.8,10,464.88,462.23,469.03,9.725,10.21,6.725,10.665,3.945,0.008462,0.008298,0.008599,1
orin-nano,mobilenet-v2-050,1,25W,dvfs1,jetson,618.4,1.0,618.4,10,617.835,610.72,623.75,40.565,56.71,6.7,11.82,5.12,0.008289,0.008154,0.008311,1
orin-nano,mobilenet-v2-050,2,MAXN_SUPER,dvfs2,jetson,663.5,0.25,165.88,10,165.035,162.12,169.73,4.77,4.96,7.0,8.635,1.62,0.009798,0.009546,0.009993,1
orin-nano,mobilenet-v2-050,2,MAXN_SUPER,dvfs2,jetson,663.5,0.5,331.75,10,331.96,328.68,336.13,5.825,5.94,7.025,10.115,3.1,0.009336,0.009065,0.009392,1
orin-nano,mobilenet-v2-050,2,MAXN_SUPER,dvfs2,jetson,663.5,0.75,497.62,10,496.455,494.42,502.25,9.08,9.85,7.0,11.47,4.455,0.008987,0.008853,0.009037,1
orin-nano,mobilenet-v2-050,2,MAXN_SUPER,dvfs2,jetson,663.5,1.0,663.5,10,664.47,660.78,668.13,49.77,87.3,7.075,12.86,5.805,0.008719,0.008663,0.008799,1
orin-nano,mobilenet-v2-050,3,7W,dvfs3,jetson,268.3,0.25,67.08,10,66.965,65.47,68.67,9.975,10.55,5.6,6.24,0.65,0.009816,0.008979,0.011073,1
orin-nano,mobilenet-v2-050,3,7W,dvfs3,jetson,268.3,0.5,134.15,10,134.425,131.18,135.7,12.355,12.85,5.6,6.815,1.225,0.009108,0.008897,0.009896,1
orin-nano,mobilenet-v2-050,3,7W,dvfs3,jetson,268.3,0.75,201.23,10,202.04,199.52,205.13,20.085,24.08,5.6,7.4,1.8,0.008873,0.007969,0.009335,1
