device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
orin-nano,mobilenet-v2-050,3,7W,dvfs3,jetson,268.3,1.0,268.3,10,268.19,265.27,271.07,66.615,83.92,5.6,7.915,2.315,0.008649,0.008532,0.00887,1
orin-nano,mobilenet-v2-100,0,15W,dvfs0,jetson,353.9,0.25,88.47,10,88.845,87.37,90.25,7.565,7.76,6.3,7.73,1.42,0.015997,0.015152,0.016456,1
orin-nano,mobilenet-v2-100,0,15W,dvfs0,jetson,353.9,0.5,176.95,10,177.775,175.33,179.65,9.365,9.73,6.3,9.045,2.71,0.015357,0.014917,0.015571,1
orin-nano,mobilenet-v2-100,0,15W,dvfs0,jetson,353.9,0.75,265.42,10,265.84,260.03,267.1,14.56,15.72,6.35,10.33,3.98,0.014941,0.014776,0.015275,1
orin-nano,mobilenet-v2-100,0,15W,dvfs0,jetson,353.9,1.0,353.9,10,353.845,350.3,357.98,48.195,57.3,6.3,11.515,5.19,0.014693,0.014422,0.01493,1
orin-nano,mobilenet-v2-100,1,25W,dvfs1,jetson,446.9,0.25,111.72,10,112.075,109.55,113.87,6.255,6.47,6.7,8.505,1.795,0.016169,0.015556,0.016334,1
orin-nano,mobilenet-v2-100,1,25W,dvfs1,jetson,446.9,0.5,223.45,10,223.735,221.63,226.52,8.345,8.7,6.775,10.21,3.45,0.015474,0.015168,0.015804,1
orin-nano,mobilenet-v2-100,1,25W,dvfs1,jetson,446.9,0.75,335.17,10,334.87,331.33,340.08,12.905,13.54,6.7,11.825,5.125,0.015326,0.015045,0.015434,1
orin-nano,mobilenet-v2-100,1,25W,dvfs1,jetson,446.9,1.0,446.9,10,446.34,442.63,453.12,55.055,84.96,6.8,13.49,6.755,0.015055,0.014981,0.015285,1
orin-nano,mobilenet-v2-100,2,MAXN_SUPER,dvfs2,jetson,494.8,0.25,123.7,10,123.835,121.27,126.28,5.97,6.11,7.05,9.165,2.11,0.017013,0.016487,0.017561,1
orin-nano,mobilenet-v2-100,2,MAXN_SUPER,dvfs2,jetson,494.8,0.5,247.4,10,246.915,245.08,250.62,7.86,8.25,7.0,11.14,4.1,0.016562,0.016355,0.016902,1
orin-nano,mobilenet-v2-100,2,MAXN_SUPER,dvfs2,jetson,494.8,0.75,371.1,10,371.18,368.88,373.48,12.945,13.85,7.025,13.09,6.055,0.01628,0.016088,0.016495,1
orin-nano,mobilenet-v2-100,2,MAXN_SUPER,dvfs2,jetson,494.8,1.0,494.8,10,493.39,488.95,497.45,126.315,187.29,7.1,15.04,7.96,0.01612,0.016005,0.0163,1
orin-nano,mobilenet-v2-100,3,7W,dvfs3,jetson,177.0,0.25,44.25,10,44.79,42.33,46.07,12.975,13.34,5.5,6.335,0.82,0.018471,0.016453,0.019887,1
orin-nano,mobilenet-v2-100,3,7W,dvfs3,jetson,177.0,0.5,88.5,10,88.45,86.72,89.7,17.795,18.82,5.6,7.04,1.445,0.016288,0.016022,0.017162,1
orin-nano,mobilenet-v2-100,3,7W,dvfs3,jetson,177.0,0.75,132.75,10,134.095,131.25,136.35,27.635,30.32,5.6,7.73,2.13,0.015952,0.015695,0.016312,1
orin-nano,mobilenet-v2-100,3,7W,dvfs3,jetson,177.0,1.0,177.0,10,177.075,174.62,180.35,89.93,173.28,5.6,8.395,2.78,0.015776,0.015481,0.016926,1
rasp5,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,42.9,0.25,10.72,10,10.725,10.05,11.3,36.935,39.28,4.8,5.9,1.1,0.103211,0.092453,0.105505,1
rasp5,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,42.9,0.5,21.45,10,21.3,20.1,21.78,45.055,48.58,4.825,7.035,2.165,0.104093,0.097538,0.106824,1
rasp5,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,42.9,0.75,32.17,10,32.085,31.2,33.7,57.15,65.51,4.825,8.2,3.305,0.103931,0.100365,0.107889,1
rasp5,mobilenet-v2-050,0,fixed,dvfs0,sbc_npu,42.9,1.0,42.9,10,42.84,41.5,44.95,86.63,102.68,4.8,9.365,4.565,0.105421,0.104717,0.107168,1
rasp5,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,12.7,0.25,3.17,10,3.05,2.73,3.58,61.085,70.21,4.8,5.405,0.6,0.202284,0.175074,0.213415,1
rasp5,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,12.7,0.5,6.35,10,6.455,6.03,6.82,70.965,79.21,4.8,6.12,1.32,0.205379,0.191736,0.210769,1
rasp5,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,12.7,0.75,9.52,10,9.46,8.82,9.78,84.055,98.09,4.8,6.79,1.965,0.208528,0.205495,0.218653,1
rasp5,mobilenet-v2-100,0,fixed,dvfs0,sbc_npu,12.7,1.0,12.7,10,12.75,11.88,13.52,92.005,113.33,4.8,7.51,2.68,0.211294,0.204882,0.222222,1
xavier,efficientnet-b4,0,MODE_15W_2CORE,dvfs0,jetson,7.8,0.25,1.95,10,1.835,1.53,2.1,61.645,78.88,9.725,10.805,1.115,0.613042,0.394444,0.687117,1
xavier,efficientnet-b4,0,MODE_15W_2CORE,dvfs0,jetson,7.8,0.5,3.9,10,3.925,3.28,4.2,78.095,79.91,9.625,12.025,2.4,0.606731,0.578667,0.631098,1
xavier,efficientnet-b4,0,MODE_15W_2CORE,dvfs0,jetson,7.8,0.75,5.85,10,5.72,5.28,6.08,82.605,87.3,9.65,13.13,3.45,0.605163,0.549822,0.642202,1
xavier,efficientnet-b4,0,MODE_15W_2CORE,dvfs0,jetson,7.8,1.0,7.8,10,7.79,7.1,8.47,88.94,116.02,9.7,14.305,4.655,0.599433,0.565823,0.6175,1
xavier,efficientnet-b4,1,MODE_15W_4CORE,dvfs1,jetson,8.4,0.25,2.1,10,2.045,1.78,2.47,63.375,79.24,9.8,11.1,1.335,0.626924,0.544554,0.715789,1
xavier,efficientnet-b4,1,MODE_15W_4CORE,dvfs1,jetson,8.4,0.5,4.2,10,4.245,4.12,4.62,78.205,83.75,9.75,12.275,2.525,0.59909,0.547393,0.63466,1
xavier,efficientnet-b4,1,MODE_15W_4CORE,dvfs1,jetson,8.4,0.75,6.3,10,6.375,6.17,6.83,83.93,95.66,9.8,13.62,3.8,0.59634,0.554295,0.625183,1
xavier,efficientnet-b4,1,MODE_15W_4CORE,dvfs1,jetson,8.4,1.0,8.4,10,8.625,8.15,9.7,91.765,100.35,9.8,14.85,5.065,0.58841,0.564162,0.617178,1
xavier,efficientnet-b4,2,MODE_15W_6CORE,dvfs2,jetson,9.2,0.25,2.3,10,2.225,1.95,2.48,59.805,79.94,9.9,11.295,1.395,0.621396,0.561181,0.651282,1
xavier,efficientnet-b4,2,MODE_15W_6CORE,dvfs2,jetson,9.2,0.5,4.6,10,4.6,4.38,5.05,79.905,90.09,9.9,12.67,2.75,0.597894,0.557778,0.610879,1
xavier,efficientnet-b4,2,MODE_15W_6CORE,dvfs2,jetson,9.2,0.75,6.9,10,6.86,6.32,7.15,87.035,97.45,9.9,13.945,3.995,0.598558,0.572059,0.625392,1
xavier,efficientnet-b4,2,MODE_15W_6CORE,dvfs2,jetson,9.2,1.0,9.2,10,8.86,8.42,9.97,102.48,127.39,9.95,15.21,5.31,0.591162,0.568706,0.61793,1
xavier,efficientnet-b4,3,MODE_10W_2CORE,dvfs3,jetson,5.5,0.25,1.38,10,1.285,1.08,1.5,59.73,92.34,9.425,10.015,0.595,0.470668,0.348214,0.6,1
xavier,efficientnet-b4,3,MODE_10W_2CORE,dvfs3,jetson,5.5,0.5,2.75,10,2.645,2.37,3.18,87.43,93.56,9.3,10.655,1.315,0.501852,0.438819,0.535581,1
xavier,efficientnet-b4,3,MODE_10W_2CORE,dvfs3,jetson,5.5,0.75,4.12,10,4.1,3.7,4.43,95.295,101.34,9.45,11.32,1.925,0.461265,0.432432,0.485294,1
xavier,efficientnet-b4,3,MODE_10W_2CORE,dvfs3,jetson,5.5,1.0,5.5,10,5.41,4.93,5.93,100.755,110.78,9.325,11.925,2.515,0.474526,0.444643,0.5,1
xavier,efficientnet-b4,4,MODE_10W_4CORE,dvfs4,jetson,5.2,0.25,1.3,10,1.255,1.05,1.42,62.16,82.96,9.425,10.055,0.63,0.498868,0.204918,0.619048,1
xavier,efficientnet-b4,4,MODE_10W_4CORE,dvfs4,jetson,5.2,0.5,2.6,10,2.59,2.25,3.02,83.715,95.3,9.4,10.63,1.205,0.503333,0.406977,0.566116,1
xavier,efficientnet-b4,4,MODE_10W_4CORE,dvfs4,jetson,5.2,0.75,3.9,10,3.865,3.27,4.42,95.66,107.2,9.4,11.29,1.915,0.472807,0.428571,0.496104,1
xavier,efficientnet-b4,4,MODE_10W_4CORE,dvfs4,jetson,5.2,1.0,5.2,10,5.165,4.85,5.32,98.615,102.55,9.425,11.835,2.39,0.474353,0.438462,0.492481,1
xavier,efficientnet-b4,5,MODE_10W_DESKTOP,dvfs5,jetson,1.1,0.25,0.28,10,0.27,0.23,0.37,72.97,84.41,9.5,9.725,0.235,0.902467,0.296296,1.304348,1
xavier,efficientnet-b4,5,MODE_10W_DESKTOP,dvfs5,jetson,1.1,0.5,0.55,10,0.55,0.48,0.6,73.18,100.06,9.5,9.89,0.405,0.737069,0.633333,0.9375,1
xavier,efficientnet-b4,5,MODE_10W_DESKTOP,dvfs5,jetson,1.1,0.75,0.83,10,0.775,0.6,1.02,84.24,132.42,9.5,9.97,0.46,0.590919,0.3,0.747126,1
xavier,efficientnet-b4,5,MODE_10W_DESKTOP,dvfs5,jetson,1.1,1.0,1.1,10,1.115,0.85,1.48,98.11,116.43,9.5,10.195,0.71,0.619659,0.47619,0.742857,1
xavier,efficientnet-b4,6,MODE_20W_2CORE,dvfs6,jetson,8.4,0.25,2.1,10,2.1,1.93,2.3,49.27,64.88,10.1,11.395,1.27,0.600302,0.504505,0.675556,1
xavier,efficientnet-b4,6,MODE_20W_2CORE,dvfs6,jetson,8.4,0.5,4.2,10,4.16,3.83,4.6,68.78,74.48,10.125,12.595,2.455,0.585619,0.555276,0.635714,1
xavier,efficientnet-b4,6,MODE_20W_2CORE,dvfs6,jetson,8.4,0.75,6.3,10,6.265,5.95,7.03,79.87,82.55,10.1,13.76,3.675,0.588488,0.554765,0.616807,1
xavier,efficientnet-b4,6,MODE_20W_2CORE,dvfs6,jetson,8.4,1.0,8.4,10,8.3,7.93,9.1,85.895,98.97,10.125,15.02,4.895,0.583133,0.526012,0.612791,1
xavier,efficientnet-b4,7,MODE_20W_4CORE,dvfs7,jetson,9.7,0.25,2.42,10,2.3,1.9,2.78,62.835,71.95,10.2,11.65,1.38,0.608537,0.560311,0.697959,1
xavier,efficientnet-b4,7,MODE_20W_4CORE,dvfs7,jetson,9.7,0.5,4.85,10,4.625,4.23,4.9,74.13,79.27,10.2,12.975,2.775,0.590163,0.55792,0.632653,1
xavier,efficientnet-b4,7,MODE_20W_4CORE,dvfs7,jetson,9.7,0.75,7.27,10,7.205,6.43,8.07,82.79,85.46,10.2,14.475,4.31,0.596425,0.57953,0.608571,1
xavier,efficientnet-b4,7,MODE_20W_4CORE,dvfs7,jetson,9.7,1.0,9.7,10,9.905,9.67,10.82,93.835,112.38,10.25,16.24,5.915,0.592916,0.581441,0.623364,1
xavier,efficientnet-b4,8,MODE_20W_6CORE,dvfs8,jetson,10.7,0.25,2.67,10,2.68,2.47,3.12,65.815,73.45,10.3,11.97,1.66,0.603046,0.460317,0.732794,1
xavier,efficientnet-b4,8,MODE_20W_6CORE,dvfs8,jetson,10.7,0.5,5.35,10,5.415,5.13,5.78,77.68,79.9,10.35,13.465,3.18,0.591268,0.543986,0.633517,1
xavier,efficientnet-b4,8,MODE_20W_6CORE,dvfs8,jetson,10.7,0.75,8.02,10,8.275,7.87,8.6,87.06,95.1,10.325,15.255,4.915,0.591973,0.56925,0.607488,1
xavier,efficientnet-b4,8,MODE_20W_6CORE,dvfs8,jetson,10.7,1.0,10.7,10,10.775,10.02,11.43,104.055,119.06,10.4,16.86,6.485,0.59455,0.573896,0.610377,1
xavier,mobilenet-v2-050,0,MODE_15W_2CORE,dvfs0,jetson,256.2,0.25,64.05,10,64.105,63.62,65.47,12.535,12.96,9.55,11.235,1.715,0.02677,0.022703,0.027952,1
xavier,mobilenet-v2-050,0,MODE_15W_2CORE,dvfs0,jetson,256.2,0.5,128.1,10,128.86,126.02,132.72,17.38,17.89,9.7,12.74,3.055,0.023741,0.022933,0.024627,1
xavier,mobilenet-v2-050,0,MODE_15W_2CORE,dvfs0,jetson,256.2,0.75,192.15,10,190.6,188.92,192.78,26.395,28.83,9.6,14.16,4.525,0.023788,0.022922,0.024422,1
xavier,mobilenet-v2-050,0,MODE_15W_2CORE,dvfs0,jetson,256.2,1.0,256.2,10,257.035,252.47,259.75,72.225,92.18,9.65,15.655,6.005,0.023478,0.022627,0.023813,1
xavier,mobilenet-v2-050,1,MODE_15W_4CORE,dvfs1,jetson,275.0,0.25,68.75,10,68.625,66.78,70.12,12.325,12.9,9.7,11.44,1.725,0.02544,0.023648,0.026952,1
xavier,mobilenet-v2-050,1,MODE_15W_4CORE,dvfs1,jetson,275.0,0.5,137.5,10,137.485,135.07,140.25,15.475,16.63,9.8,13.0,3.235,0.023426,0.022312,0.024848,1
xavier,mobilenet-v2-050,1,MODE_15W_4CORE,dvfs1,jetson,275.0,0.75,206.25,10,206.4,204.07,207.73,24.165,24.87,9.8,14.53,4.77,0.023051,0.022575,0.02363,1
xavier,mobilenet-v2-050,1,MODE_15W_4CORE,dvfs1,jetson,275.0,1.0,275.0,10,275.3,271.77,280.87,81.06,129.98,9.7,16.03,6.295,0.022866,0.022252,0.023074,1
xavier,mobilenet-v2-050,2,MODE_15W_6CORE,dvfs2,jetson,287.5,0.25,71.88,10,71.2,70.38,72.48,11.91,12.23,9.875,11.61,1.74,0.024455,0.021539,0.02616,1
xavier,mobilenet-v2-050,2,MODE_15W_6CORE,dvfs2,jetson,287.5,0.5,143.75,10,144.825,141.58,145.72,15.555,16.18,9.875,13.25,3.39,0.023407,0.021722,0.024015,1
xavier,mobilenet-v2-050,2,MODE_15W_6CORE,dvfs2,jetson,287.5,0.75,215.62,10,215.86,212.15,218.38,23.745,24.71,9.9,14.82,4.95,0.02301,0.022189,0.023639,1
xavier,mobilenet-v2-050,2,MODE_15W_6CORE,dvfs2,jetson,287.5,1.0,287.5,10,288.015,285.9,292.93,81.765,128.06,9.875,16.415,6.515,0.022713,0.021951,0.023091,1
xavier,mobilenet-v2-050,3,MODE_10W_2CORE,dvfs3,jetson,218.8,0.25,54.7,10,54.25,53.35,55.17,14.26,15.14,9.4,10.52,1.07,0.019765,0.017222,0.022202,1
xavier,mobilenet-v2-050,3,MODE_10W_2CORE,dvfs3,jetson,218.8,0.5,109.4,10,109.515,106.95,111.47,19.65,20.23,9.4,11.49,2.105,0.01919,0.018449,0.019822,1
xavier,mobilenet-v2-050,3,MODE_10W_2CORE,dvfs3,jetson,218.8,0.75,164.1,10,164.08,161.33,167.72,31.57,36.21,9.4,12.475,3.05,0.018666,0.017294,0.019361,1
xavier,mobilenet-v2-050,3,MODE_10W_2CORE,dvfs3,jetson,218.8,1.0,218.8,10,217.68,215.65,221.23,87.23,841.04,9.4,13.415,4.0,0.018434,0.018033,0.018804,1
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,225.6,0.25,56.4,10,55.64,54.95,57.87,13.625,13.88,9.525,10.605,1.06,0.019103,0.016522,0.021654,1
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,225.6,0.5,112.8,10,113.155,111.02,114.72,17.395,18.01,9.5,11.61,2.15,0.018891,0.016674,0.019726,1
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,225.6,0.75,169.2,10,169.49,165.57,170.15,25.995,27.87,9.5,12.59,3.1,0.018405,0.017573,0.018813,1
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,225.6,1.0,225.6,10,226.875,224.67,229.57,61.205,119.66,9.5,13.585,4.095,0.018006,0.01727,0.018571,1
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,212.5,0.25,53.12,10,53.1,51.23,54.57,13.59,14.07,9.575,10.93,1.365,0.025509,0.023006,0.027177,1
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,212.5,0.5,106.25,10,105.9,104.67,107.2,17.755,18.37,9.6,12.12,2.545,0.024018,0.022643,0.025031,1
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,212.5,0.75,159.38,10,158.895,156.52,159.55,26.07,29.24,9.6,13.275,3.665,0.023067,0.022375,0.024204,1
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,212.5,1.0,212.5,10,213.86,210.47,216.37,86.66,147.45,9.575,14.515,4.925,0.023102,0.021906,0.023502,1
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,273.1,0.25,68.28,10,68.165,66.47,69.57,11.795,12.51,10.15,11.91,1.745,0.025723,0.024336,0.027742,1
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,273.1,0.5,136.55,10,137.04,134.87,139.88,15.9,17.05,10.1,13.51,3.425,0.02488,0.024303,0.025507,1
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,273.1,0.75,204.83,10,204.145,202.32,206.15,24.14,26.91,10.1,15.1,4.97,0.024456,0.023527,0.024636,1
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,273.1,1.0,273.1,10,273.91,269.72,276.98,64.2,82.35,10.15,16.675,6.5,0.023815,0.023306,0.024062,1
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,287.5,0.25,71.88,10,71.225,70.12,73.02,11.89,12.35,10.325,12.105,1.795,0.024752,0.023151,0.026754,1
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,287.5,0.5,143.75,10,143.82,141.08,147.2,15.525,15.8,10.2,13.74,3.52,0.024386,0.023696,0.024796,1
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,287.5,0.75,215.62,10,215.98,213.77,218.82,24.055,25.5,10.225,15.335,5.1,0.023529,0.022828,0.024109,1
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,287.5,1.0,287.5,10,288.2,286.63,290.52,73.285,91.38,10.3,16.94,6.64,0.023063,0.022324,0.023445,1
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,300.0,0.25,75.0,10,75.375,74.17,77.68,11.685,12.0,10.475,12.285,1.825,0.024391,0.019887,0.026278,1
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,300.0,0.5,150.0,10,149.845,147.07,151.3,15.01,15.61,10.3,13.985,3.655,0.024442,0.023331,0.024903,1
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,300.0,0.75,225.0,10,226.525,223.27,227.52,23.04,24.79,10.45,15.675,5.235,0.023037,0.022746,0.023754,1
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,300.0,1.0,300.0,10,299.46,296.55,303.57,93.23,119.13,10.425,17.35,6.905,0.023079,0.022728,0.02352,1
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,211.2,0.25,52.8,10,52.785,51.27,55.5,13.875,14.72,9.65,11.84,2.185,0.042072,0.037086,0.042481,1
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,211.2,0.5,105.6,10,105.175,103.05,107.8,18.63,19.42,9.7,13.995,4.315,0.040932,0.040466,0.042415,1
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,211.2,0.75,158.4,10,157.83,156.75,159.73,30.31,32.21,9.6,16.155,6.535,0.041263,0.040627,0.041738,1
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,211.2,1.0,211.2,10,211.3,208.53,212.88,81.475,86.9,9.7,18.295,8.545,0.040723,0.040034,0.041332,1
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,216.1,0.25,54.02,10,53.955,53.43,55.25,13.89,14.14,9.825,12.04,2.185,0.040535,0.039578,0.042298,1
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,216.1,0.5,108.05,10,108.55,105.88,110.13,17.74,18.3,9.8,14.13,4.33,0.039955,0.038957,0.041217,1
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,216.1,0.75,162.07,10,162.025,158.82,163.02,25.82,27.68,9.8,16.195,6.41,0.039614,0.038824,0.040596,1
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,216.1,1.0,216.1,10,216.77,212.55,220.23,71.375,82.77,9.8,18.36,8.56,0.039538,0.038861,0.039793,1
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,219.4,0.25,54.85,10,55.43,53.37,56.28,13.66,13.99,9.9,12.165,2.27,0.041128,0.036784,0.043052,1
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,219.4,0.5,109.7,10,110.815,109.08,112.52,17.13,18.08,9.8,14.315,4.475,0.040469,0.038651,0.04145,1
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,219.4,0.75,164.55,10,164.6,162.28,168.27,25.015,27.18,9.825,16.41,6.555,0.0399,0.038883,0.040251,1
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,219.4,1.0,219.4,10,219.83,216.83,221.6,73.315,108.56,9.9,18.545,8.62,0.039235,0.038677,0.040308,1
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,170.6,0.25,42.65,10,42.785,41.0,44.37,16.125,16.68,9.4,10.86,1.455,0.034521,0.028848,0.035927,1
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,170.6,0.5,85.3,10,85.605,83.52,87.5,21.12,21.95,9.4,12.15,2.775,0.032208,0.031666,0.034119,1
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,170.6,0.75,127.95,10,127.715,124.82,129.83,31.43,33.86,9.35,13.465,4.075,0.032086,0.030857,0.032761,1
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,170.6,1.0,170.6,10,169.925,166.68,173.55,75.875,97.8,9.4,14.7,5.295,0.031325,0.030908,0.031979,1
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,169.8,0.25,42.45,10,42.785,40.77,43.63,15.57,15.88,9.5,10.855,1.345,0.031675,0.028192,0.034584,1
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,169.8,0.5,84.9,10,85.735,83.4,86.28,19.625,20.08,9.4,12.16,2.75,0.032019,0.030023,0.033088,1
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,169.8,0.75,127.35,10,126.95,125.93,130.15,28.29,29.58,9.45,13.405,3.95,0.03093,0.029965,0.031698,1
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,169.8,1.0,169.8,10,170.235,166.12,171.55,55.475,81.19,9.425,14.69,5.23,0.030722,0.029671,0.031339,1
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,145.9,0.25,36.48,10,36.65,35.02,37.83,17.28,17.76,9.475,11.06,1.6,0.042886,0.037693,0.046091,1
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,145.9,0.5,72.95,10,72.99,72.02,74.53,22.8,23.53,9.5,12.42,2.925,0.040369,0.038335,0.041627,1
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,145.9,0.75,109.43,10,109.215,107.2,110.0,33.65,39.19,9.525,13.785,4.225,0.039004,0.03808,0.040092,1
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,145.9,1.0,145.9,10,146.675,144.48,147.98,104.94,146.27,9.525,15.215,5.655,0.038578,0.037239,0.03921,1
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,219.4,0.25,54.85,10,55.025,53.27,55.98,13.18,13.84,10.1,12.42,2.33,0.042161,0.032252,0.044298,1
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,219.4,0.5,109.7,10,110.15,108.02,111.97,17.52,17.83,10.05,14.665,4.625,0.04175,0.040547,0.042626,1
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,219.4,0.75,164.55,10,163.73,162.02,165.73,26.58,28.41,10.175,16.76,6.63,0.040302,0.039078,0.040881,1
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,219.4,1.0,219.4,10,219.605,217.03,221.92,66.135,87.39,10.175,18.985,8.83,0.040129,0.039658,0.040916,1
xavier,mobilenet-v2-100,7,MODE_20W_4CORE,dvfs7,jetson,227.5,0.25,56.88,10,56.7,55.8,58.9,13.27,13.58,10.25,12.62,2.35,0.041501,0.038509,0.043717,1
xavier,mobilenet-v2-100,7,MODE_20W_4CORE,dvfs7,jetson,227.5,0.5,113.75,10,113.94,112.18,114.83,16.85,17.6,10.2,14.88,4.615,0.040858,0.039298,0.042057,1
xavier,mobilenet-v2-100,7,MODE_20W_4CORE,dvfs7,jetson,227.5,0.75,170.62,10,170.765,168.1,174.92,25.49,26.71,10.225,17.09,6.845,0.040145,0.039029,0.040561,1
xavier,mobilenet-v2-100,7,MODE_20W_4CORE,dvfs7,jetson,227.5,1.0,227.5,10,227.175,224.97,229.63,72.15,99.81,10.25,19.335,9.095,0.039894,0.039341,0.040472,1
xavier,mobilenet-v2-100,8,MODE_20W_6CORE,dvfs8,jetson,235.6,0.25,58.9,10,59.315,57.2,60.17,13.295,13.85,10.35,12.835,2.495,0.042281,0.039161,0.043852,1
xavier,mobilenet-v2-100,8,MODE_20W_6CORE,dvfs8,jetson,235.6,0.5,117.8,10,118.125,115.15,120.27,16.935,17.78,10.3,15.095,4.835,0.040609,0.039476,0.041582,1
xavier,mobilenet-v2-100,8,MODE_20W_6CORE,dvfs8,jetson,235.6,0.75,176.7,10,176.94,175.58,180.47,25.565,27.74,10.375,17.38,7.075,0.039584,0.03884,0.040339,1
xavier,mobilenet-v2-100,8,MODE_20W_6CORE,dvfs8,jetson,235.6,1.0,235.6,10,235.84,232.33,237.28,75.155,98.06,10.3,19.695,9.38,0.03987,0.039393,0.040181,1
