device,model,policy,capacity_ips,warm_idle_power_w,avg_serving_power_w,delta_power_w,marginal_wall_energy_j_per_inf,n_valid_runs,source_json,power_status
gpu-server,efficientnet-b4,capacity,135.6,106.7,212.88,106.18,0.783038348082596,3,20260418T013205+0900_732_gpu-server_effb4_capacity_cuda_v2.json,ok
gpu-server,efficientnet-b4,e_inc,90.8,96.8,155.58,58.78,0.6473568281938327,3,20260418T004206+0900_868_gpu-server_effb4_e_inc_cuda_v2.json,ok
gpu-server,mobilenet-v2-050,capacity,585.0,101.7,132.25,30.55,0.052222222222222225,3,20260418T005959+0900_194_gpu-server_mob050_e_inc_cuda_v2.json,ok
gpu-server,mobilenet-v2-050,e_inc,585.0,101.7,132.25,30.55,0.052222222222222225,3,20260418T005959+0900_194_gpu-server_mob050_e_inc_cuda_v2.json,ok
gpu-server,mobilenet-v2-100,capacity,507.7,100.0,140.12,40.12,0.0790230451053772,3,20260418T011153+0900_443_gpu-server_mob100_e_inc_cuda_v2.json,ok
gpu-server,mobilenet-v2-100,e_inc,507.7,100.0,140.12,40.12,0.0790230451053772,3,20260418T011153+0900_443_gpu-server_mob100_e_inc_cuda_v2.json,ok
jetson,mobilenet-v2-050,capacity,98.9,3.0,7.82,4.82,0.0487360970677452,3,20260418T015221+0900_457_jetson_mob050_e_inc_trt_v2.json,ok
jetson,mobilenet-v2-050,e_inc,98.9,3.0,7.82,4.82,0.0487360970677452,3,20260418T015221+0900_457_jetson_mob050_e_inc_trt_v2.json,ok
jetson,mobilenet-v2-100,capacity,50.0,3.7,7.6,3.9,0.078,3,20260418T020951+0900_057_jetson_mob100_e_inc_trt_v2.json,ok
jetson,mobilenet-v2-100,e_inc,50.0,3.7,7.6,3.9,0.078,3,20260418T020951+0900_057_jetson_mob100_e_inc_trt_v2.json,ok
lattepanda,mobilenet-v2-050,capacity,132.3,4.4,15.16,10.76,0.08133030990173847,3,20260418T004244+0900_382_lattepanda_mob050_e_inc_cpu_v2.json,ok
lattepanda,mobilenet-v2-050,e_inc,132.3,4.4,15.16,10.76,0.08133030990173847,3,20260418T004244+0900_382_lattepanda_mob050_e_inc_cpu_v2.json,ok
lattepanda,mobilenet-v2-100,capacity,48.1,4.4,15.25,10.85,0.22557172557172556,3,20260418T010011+0900_512_lattepanda_mob100_e_inc_cpu_v2.json,ok
lattepanda,mobilenet-v2-100,e_inc,48.1,4.4,15.25,10.85,0.22557172557172556,3,20260418T010011+0900_512_lattepanda_mob100_e_inc_cpu_v2.json,ok
orangepi,mobilenet-v2-050,capacity,102.4,2.65,12.92,10.27,0.10029296874999999,3,20260418T004254+0900_983_orangepi_mob050_e_inc_cpu_v2.json,ok
orangepi,mobilenet-v2-050,e_inc,102.4,2.65,12.92,10.27,0.10029296874999999,3,20260418T004254+0900_983_orangepi_mob050_e_inc_cpu_v2.json,ok
orangepi,mobilenet-v2-100,capacity,43.8,2.8,11.81,9.01,0.20570776255707762,3,20260418T005807+0900_367_orangepi_mob100_e_inc_cpu_v2.json,ok
orangepi,mobilenet-v2-100,e_inc,43.8,2.8,11.81,9.01,0.20570776255707762,3,20260418T005807+0900_367_orangepi_mob100_e_inc_cpu_v2.json,ok
orangepi-npu,mobilenet-v2-050,capacity,222.7,2.8,5.12,2.32,0.010417602155365963,3,20260418T011114+0900_608_orangepi-npu_mob050_e_inc_rknpu_v2.json,ok
orangepi-npu,mobilenet-v2-050,e_inc,222.7,2.8,5.12,2.32,0.010417602155365963,3,20260418T011114+0900_608_orangepi-npu_mob050_e_inc_rknpu_v2.json,ok
orangepi-npu,mobilenet-v2-100,capacity,154.1,2.7,5.1,2.4,0.015574302401038288,3,20260418T012606+0900_464_orangepi-npu_mob100_e_inc_rknpu_v2.json,ok
orangepi-npu,mobilenet-v2-100,e_inc,154.1,2.7,5.1,2.4,0.015574302401038288,3,20260418T012606+0900_464_orangepi-npu_mob100_e_inc_rknpu_v2.json,ok
orin,efficientnet-b4,capacity,81.6,13.3,38.86,25.56,0.31323529411764706,3,20260418T023621+0900_457_orin_effb4_capacity_trt_v2.json,ok
orin,efficientnet-b4,e_inc,21.9,11.2,17.06,5.86,0.2675799086757991,3,20260418T015206+0900_765_orin_effb4_e_inc_trt_v2.json,ok
orin,mobilenet-v2-050,capacity,390.6,11.35,16.11,4.76,0.012186379928315411,3,20260418T020909+0900_104_orin_mob050_e_inc_trt_v2.json,ok
orin,mobilenet-v2-050,e_inc,390.6,11.35,16.11,4.76,0.012186379928315411,3,20260418T020909+0900_104_orin_mob050_e_inc_trt_v2.json,ok
orin,mobilenet-v2-100,capacity,318.8,11.4,17.39,5.99,0.018789209535759098,3,20260418T022148+0900_759_orin_mob100_e_inc_trt_v2.json,ok
orin,mobilenet-v2-100,e_inc,318.8,11.4,17.39,5.99,0.018789209535759098,3,20260418T022148+0900_759_orin_mob100_e_inc_trt_v2.json,ok
rasp5,mobilenet-v2-050,capacity,43.0,4.9,9.23,4.33,0.10069767441860465,3,20260418T015233+0900_412_rasp5_mob050_e_inc_cpu_v2.json,ok
rasp5,mobilenet-v2-050,e_inc,43.0,4.9,9.23,4.33,0.10069767441860465,3,20260418T015233+0900_412_rasp5_mob050_e_inc_cpu_v2.json,ok
rasp5,mobilenet-v2-100,capacity,13.0,4.8,7.59,2.79,0.21461538461538462,3,20260418T020550+0900_012_rasp5_mob100_e_inc_cpu_v2.json,ok
rasp5,mobilenet-v2-100,e_inc,13.0,4.8,7.59,2.79,0.21461538461538462,3,20260418T020550+0900_012_rasp5_mob100_e_inc_cpu_v2.json,ok
xavier,efficientnet-b4,capacity,1.4,10.0,10.37,0.37,0.2642857142857143,3,20260418T015207+0900_529_xavier_effb4_e_inc_trt_v2.json,ok
xavier,efficientnet-b4,e_inc,1.4,10.0,10.37,0.37,0.2642857142857143,3,20260418T015207+0900_529_xavier_effb4_e_inc_trt_v2.json,ok
xavier,mobilenet-v2-050,capacity,212.5,9.6,14.47,4.87,0.02291764705882353,3,20260418T021724+0900_034_xavier_mob050_e_inc_trt_v2.json,ok
xavier,mobilenet-v2-050,e_inc,212.5,9.6,14.47,4.87,0.02291764705882353,3,20260418T021724+0900_034_xavier_mob050_e_inc_trt_v2.json,ok
xavier,mobilenet-v2-100,capacity,142.2,9.8,15.14,5.34,0.03755274261603376,3,20260418T023137+0900_167_xavier_mob100_e_inc_trt_v2.json,ok
xavier,mobilenet-v2-100,e_inc,142.2,9.8,15.14,5.34,0.03755274261603376,3,20260418T023137+0900_167_xavier_mob100_e_inc_trt_v2.json,ok
